DHID,Easting,Northing,Elevation
DDH142,217.8344,36.0469,175.9932
DDH143,217.8344,36.0469,175.9932
DDH144,217.8344,36.0469,175.9932
DDH145,65.4463,7.2027,171.5341
DDH146,65.4463,7.2027,171.5341
DDH147,329.6168,121.6388,174.5665
DDH148,329.6168,121.6388,174.5665
DDH149,120.736,129.6708,173.9415
DDH150,120.736,129.6708,173.9415
DDH151,120.736,129.6708,173.9415
DDH152,120.736,129.6708,173.9415
DDH153,4.7637,177.2136,178.4842
DDH154,4.7637,177.2136,178.4842
DDH155,4.7637,177.2136,178.4842
DDH156,4.7637,177.2136,178.4842
DDH157,15.029,43.7958,173.4991
DDH158,15.029,43.7958,173.4991
DDH159,15.029,43.7958,173.4991
DDH160,15.029,43.7958,173.4991
DDH161,264.803,54.697,175.7066
DDH162,264.803,54.697,175.7066
DDH163,264.803,54.697,175.7066
DDH164,264.803,54.697,175.7066
DDH165,264.803,54.697,175.7066
DDH166,398.5936,126.3779,172.9433
DDH167,398.5936,126.3779,172.9433
DDH168,28.2002,145.9243,176.3074
DDH169,28.2002,145.9243,176.3074
DDH170,28.2002,145.9243,176.3074
DDH171,253.3303,188.8412,172.4968
DDH172,27.6346,177.1112,182.2117
DDH173,27.6346,177.1112,182.2117
DDH174,27.6346,177.1112,182.2117
DDH175,82.3623,22.5224,182.7336
DDH176,82.3623,22.5224,182.7336
DDH177,82.3623,22.5224,182.7336
DDH178,82.3623,22.5224,182.7336
DDH179,82.3623,22.5224,182.7336
DDH180,340.2125,82.2062,184.5515
DDH181,283.9197,5.654,171.9126
DDH182,283.9197,5.654,171.9126
DDH183,283.9197,5.654,171.9126
DDH184,283.9197,5.654,171.9126
DDH185,283.9197,5.654,171.9126
DDH186,269.0016,76.5672,181.1083
DDH187,269.0016,76.5672,181.1083
DDH188,269.0016,76.5672,181.1083
DDH189,269.0016,76.5672,181.1083
DDH190,269.0016,76.5672,181.1083
DDH191,358.0694,91.5309,184.7246
DDH192,358.0694,91.5309,184.7246
DDH193,358.0694,91.5309,184.7246
DDH194,358.0694,91.5309,184.7246
DDH195,358.0694,91.5309,184.7246
DDH196,47.8588,175.9721,185.4876
DDH197,47.8588,175.9721,185.4876
DDH198,47.8588,175.9721,185.4876
DDH199,399.1773,2.5587,173.2648
DDH200,241.6821,70.4643,176.792
DDH201,66.0442,78.939,174.9387
DDH202,399.424,45.4296,188.2104
DDH203,399.424,45.4296,188.2104
DDH204,399.424,45.4296,188.2104
DDH205,351.5275,14.342,175.8347
DDH206,351.5275,14.342,175.8347
DDH207,351.5275,14.342,175.8347
DDH208,4.642,72.6022,171.0091
DDH209,4.642,72.6022,171.0091
DDH210,88.7314,3.3792,173.6212
DDH211,176.4286,45.0094,172.8764
DDH212,176.4286,45.0094,172.8764
DDH213,176.4286,45.0094,172.8764
DDH214,152.688,195.2717,173.0607
DDH215,192.5471,132.6078,171.4708
DDH216,192.5471,132.6078,171.4708
DDH217,192.5471,132.6078,171.4708
DDH218,192.5471,132.6078,171.4708
DDH219,192.5471,132.6078,171.4708
DDH220,304.3168,53.3635,180.4636
DDH221,304.3168,53.3635,180.4636
DDH222,304.3168,53.3635,180.4636
DDH223,62.0342,30.2401,178.2589
DDH224,7.127,129.6838,176.5748
DDH225,7.127,129.6838,176.5748
DDH226,7.127,129.6838,176.5748
DDH227,7.127,129.6838,176.5748
DDH228,7.127,129.6838,176.5748
DDH229,168.216,17.2809,183.6143
DDH230,343.492,138.9265,171.5981
DDH231,343.492,138.9265,171.5981
DDH232,343.492,138.9265,171.5981
DDH233,204.8307,4.9875,177.8212
DDH234,204.8307,4.9875,177.8212
DDH235,204.8307,4.9875,177.8212
DDH236,204.8307,4.9875,177.8212
DDH237,239.306,167.7074,171.8819
DDH238,239.306,167.7074,171.8819
DDH239,239.306,167.7074,171.8819
DDH240,267.6069,114.6563,178.1148
DDH241,267.6069,114.6563,178.1148
DDH242,267.6069,114.6563,178.1148
DDH243,267.6069,114.6563,178.1148
DDH244,267.6069,114.6563,178.1148
DDH245,95.2541,100.5732,185.7866
DDH246,95.2541,100.5732,185.7866
DDH247,83.6525,58.952,172.477
DDH248,83.6525,58.952,172.477
DDH249,187.1538,111.8423,172.8613
DDH250,19.1906,87.4197,172.6911
DDH251,213.8267,58.8109,173.19
DDH252,213.8267,58.8109,173.19
DDH253,213.8267,58.8109,173.19
DDH254,213.8267,58.8109,173.19
DDH255,347.7808,110.5932,178.4865
DDH256,310.2276,175.9828,171.4945
DDH257,240.811,48.5771,175.2372
DDH258,240.811,48.5771,175.2372
DDH259,240.811,48.5771,175.2372
DDH260,99.5875,156.9977,175.3079
DDH261,132.5825,35.3493,177.5002
DDH262,132.5825,35.3493,177.5002
DDH263,132.5825,35.3493,177.5002
DDH264,132.5825,35.3493,177.5002
DDH265,240.0811,121.745,172.6659
DDH266,240.0811,121.745,172.6659
DDH267,240.0811,121.745,172.6659
DDH268,240.0811,121.745,172.6659
DDH269,140.1905,116.8387,175.1075
DDH270,140.1905,116.8387,175.1075
DDH271,140.1905,116.8387,175.1075
DDH272,140.1905,116.8387,175.1075
DDH273,140.1905,116.8387,175.1075
DDH274,6.6375,14.4772,171.178
DDH275,6.6375,14.4772,171.178
DDH276,6.6375,14.4772,171.178
DDH277,6.6375,14.4772,171.178
DDH278,6.6375,14.4772,171.178
DDH279,202.0175,93.2587,180.3869
DDH280,202.0175,93.2587,180.3869
DDH281,202.0175,93.2587,180.3869
DDH282,212.3878,170.7563,172.228
DDH283,212.3878,170.7563,172.228
DDH284,159.5483,134.0637,171.4202
DDH285,159.5483,134.0637,171.4202
DDH286,159.5483,134.0637,171.4202
DDH287,159.5483,134.0637,171.4202
DDH288,159.5483,134.0637,171.4202
DDH289,113.0771,3.0498,180.9747
DDH290,113.0771,3.0498,180.9747
DDH291,72.6312,177.4852,190.7561
DDH292,2.1363,105.6136,177.0167
DDH293,2.1363,105.6136,177.0167
DDH294,2.1363,105.6136,177.0167
DDH295,105.9895,25.6739,190.8339
DDH296,104.611,60.5519,172.3509
DDH297,104.611,60.5519,172.3509
DDH298,94.8299,193.9763,175.2706
DDH299,94.8299,193.9763,175.2706
DDH300,204.2499,149.4011,172.3065
DDH301,321.4417,7.8969,173.0237
DDH302,321.4417,7.8969,173.0237
DDH303,321.4417,7.8969,173.0237
DDH304,321.4417,7.8969,173.0237
DDH305,321.4417,7.8969,173.0237
DDH306,375.0031,132.8596,171.7885
DDH307,155.3623,99.4452,180.8776
DDH308,155.3623,99.4452,180.8776
DDH309,155.3623,99.4452,180.8776
DDH310,155.3623,99.4452,180.8776
DDH311,155.3623,99.4452,180.8776
DDH312,43.3919,108.5,182.7156
DDH313,43.3919,108.5,182.7156
DDH314,43.3919,108.5,182.7156
DDH315,43.3919,108.5,182.7156
DDH316,57.1006,53.4667,172.7511
DDH317,57.1006,53.4667,172.7511
DDH318,57.1006,53.4667,172.7511
DDH319,57.1006,53.4667,172.7511
DDH320,372.7723,154.6229,172.5642
DDH321,379.0147,174.4323,171.7427
DDH322,379.0147,174.4323,171.7427
DDH323,379.0147,174.4323,171.7427
DDH324,379.0147,174.4323,171.7427
DDH325,331.4451,50.9156,188.4116
DDH326,331.4451,50.9156,188.4116
DDH327,331.4451,50.9156,188.4116
DDH328,331.4451,50.9156,188.4116
DDH329,66.7281,155.7212,175.6031
DDH330,66.7281,155.7212,175.6031
DDH331,66.7281,155.7212,175.6031
DDH332,66.7281,155.7212,175.6031
DDH333,370.5184,0.8184,173.9284
DDH334,370.5184,0.8184,173.9284
DDH335,370.5184,0.8184,173.9284
DDH336,398.2922,196.7916,170.4692
DDH337,222.7315,189.9572,173.793
DDH338,222.7315,189.9572,173.793
DDH339,222.7315,189.9572,173.793
DDH340,321.4889,155.6179,172.0369
DDH341,321.4889,155.6179,172.0369
DDH342,321.4889,155.6179,172.0369
DDH343,321.4889,155.6179,172.0369
DDH344,383.7929,78.5633,180.8597
DDH345,292.7961,81.2957,185.4595
DDH346,292.7961,81.2957,185.4595
DDH347,292.7961,81.2957,185.4595
DDH348,79.3052,133.3162,179.2311
DDH349,79.3052,133.3162,179.2311
DDH350,89.8986,81.0668,177.3151
DDH351,89.8986,81.0668,177.3151
DDH352,89.8986,81.0668,177.3151
DDH353,89.8986,81.0668,177.3151
DDH354,117.45,98.6174,185.2126
DDH355,117.45,98.6174,185.2126
DDH356,117.45,98.6174,185.2126
DDH357,117.45,98.6174,185.2126
DDH358,117.45,98.6174,185.2126
DDH359,192.45,181.071,172.7263
DDH360,192.45,181.071,172.7263
DDH361,192.45,181.071,172.7263
DDH362,281.2718,36.4579,175.4797
DDH363,281.2718,36.4579,175.4797
DDH364,300.7847,150.9993,172.0667
DDH365,300.7847,150.9993,172.0667
DDH366,300.7847,150.9993,172.0667
