Gaussian Deviate
  0.83908390E-01
  0.97338117E-01
  0.43386818    
  0.19920272    
  0.11076245    
  0.94021937E-01
  0.15233634    
  0.19299661    
  0.25672757    
  0.76046947    
  0.49051530    
  0.39019631    
 -0.24338624    
 -0.43937206    
 -0.22627643    
 -0.36829407    
  0.17498519    
  0.23370372    
  0.77425168    
   1.1865097    
   1.1011191    
   1.6125775    
   1.5101444    
   1.9977084    
   1.8931767    
   1.5347914    
   1.4939005    
   1.5347075    
   1.9131934    
   1.7598029    
   1.8518522    
   2.1426440    
   1.9280763    
   1.7687407    
   1.8838283    
   2.2096275    
   2.1623230    
   1.5741164    
   1.8870955    
   2.1637378    
   2.0172980    
   2.2330437    
   2.0417824    
   1.7708285    
   1.7964879    
   2.1545871    
   2.2168580    
   2.0194412    
   2.1425174    
   1.9739343    
   2.1767991    
   1.9685052    
   1.8425506    
   1.3197333    
   1.3886799    
  0.84269428    
   1.1742423    
  0.88994036    
  0.67375474    
  0.69928615    
   1.1482226    
   1.0205036    
   1.0025645    
   1.3086730    
   1.4824489    
   1.7000909    
   1.6491649    
   1.5396293    
   1.7295037    
   1.4827466    
   1.3587077    
   1.0654978    
   1.4224501    
   1.7561145    
   1.4415665    
   1.2699170    
   1.3171798    
   1.4409393    
   1.3090696    
   1.2817030    
   1.3066135    
   1.3122299    
   1.4403543    
   1.3972634    
   1.3866297    
   1.5654986    
   1.4313809    
   1.3006619    
   1.3242183    
   1.2648725    
  0.77895479    
  0.80639999    
  0.88216097    
  0.63783429    
  0.49847262    
  0.71220273    
  0.88545719    
  0.69455373    
  0.99371467    
  0.74507606    
  0.43133120    
  0.37864896    
  0.13164616    
  0.42689030    
  0.27496638    
 -0.72666877E-01
  0.19457943    
  0.95308675E-02
  0.43340511    
  0.30411654    
 -0.37166003    
 -0.23318456    
 -0.44121808    
 -0.65592509    
 -0.53331805    
 -0.20219960    
  0.19711631    
  0.49055778    
  0.56546537    
  0.91938157    
   1.3720922    
   1.4234094    
   1.7029121    
   1.8425967    
   1.9465265    
   1.7573559    
   1.9995574    
   1.8194728    
   1.7341526    
   1.8211397    
   1.9433637    
   1.8431959    
   1.6095443    
   1.6867728    
   1.6279071    
   1.6717496    
   2.1628520    
   2.0707490    
   1.7666903    
   2.0343924    
   2.0059516    
   1.9114584    
   1.7962848    
   1.9327660    
