Easting,Northing,Elevation,Ag,Al,As,Au,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Pd,Pt,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
513.6665904,6982.910315,0.5,75,0.44,7,0.2,23,18.4,1.2,1.67,0.74,0.27,89.1,6.8,15.5,15.8,15.69,0.88,2.2,0.1,0.08,5,0.02,0.07,53.8,25.2,0.2,137,1.12,0.029,0.94,14.3,0.144,19.79,10,2,9.2,1,0.03,0.28,1.5,0.2,1,33,0.05,0.02,36.4,0.053,0.17,10.1,27,10.9,8.94,62.4,1.8
510.7030301,6969.701621,0.5,34,0.54,3.6,0.2,20,17.9,1.2,2.04,0.4,0.13,70,3.4,9.4,5.43,7.44,0.58,2,0.1,0.02,5,0.02,0.02,48.6,18.4,0.12,87,0.91,0.012,0.44,4.5,0.115,13.05,10,2,2.9,1,0.02,0.26,1.1,0.1,0.6,21.6,0.05,0.02,25.3,0.018,0.04,16.8,14,4.5,4.51,26.2,0.1
514.2088023,6961.940925,0.5,221,1.56,39.3,0.2,20,189.9,1.1,1.85,1.45,8.08,54.1,32.9,22.4,5.15,61.53,2.69,4,0.1,0.03,27,0.03,0.11,32.7,34,0.84,524,4.55,0.03,0.75,142.2,0.097,16.99,10,2,13.4,4,0.06,1.44,2.8,1.2,0.4,68.1,0.05,0.03,9.9,0.033,0.23,7.1,37,3.1,16.97,767.3,1.4
515.6423828,6969.503767,0.5,133,1.27,41.8,2.1,20,83.8,1.1,2.48,0.83,0.7,62.6,8.4,20.6,14.49,22.96,1.46,4.2,0.1,0.02,15,0.02,0.09,39,32.4,0.36,241,1.72,0.034,1.07,24.7,0.108,26.71,10,2,12.3,3,0.04,1.4,2.3,0.7,0.7,94.3,0.05,0.03,22.1,0.034,0.21,26.4,34,2.8,8.36,83.2,0.5
515.6582992,6968.132086,0.5,235,2.01,21.3,1.2,20,109,2.6,2.05,0.48,1.56,60.1,17.7,18.3,9.48,41.69,2.1,3.4,0.1,0.05,39,0.02,0.08,38.2,44.8,0.28,293,4.09,0.016,1.09,54.8,0.112,17.75,10,2,10.1,4,0.05,1.11,2.4,1.7,0.7,40.9,0.05,0.04,22.4,0.014,0.15,35.3,25,6.7,14.28,368.1,1.5
507.8963547,6965.1535,0.5,48,0.82,58.5,0.5,20,36.9,2.2,1.94,0.43,0.32,73.7,4.9,16.9,15.09,12.44,1.49,3.1,0.1,0.02,12,0.02,0.04,46.9,29.4,0.23,157,1.67,0.013,0.57,8.1,0.121,19.3,10,2,7.5,1,0.02,0.82,1.8,0.3,0.7,34.7,0.05,0.02,23.7,0.019,0.11,52.8,27,11,6.29,33.5,0.1
507.4423797,6963.278004,0.5,253,1.69,301.4,5.3,20,61.1,1.1,2.31,0.23,0.21,86,8.2,35,13.82,61.55,2.95,4.3,0.1,0.02,31,0.04,0.08,44.7,34.4,0.36,154,11.68,0.01,1.21,30.1,0.11,27.05,10,2,12.7,2,0.08,3.42,3.8,1.4,0.6,21.7,0.05,0.03,17,0.032,0.22,47.3,34,14.4,14.36,96.7,0.3
512.4602526,6961.230582,0.5,203,1.81,118,1.4,20,109.1,1.5,1.18,0.21,0.4,59.6,16.8,24.7,13.43,47.43,2.62,4.2,0.1,0.02,16,0.03,0.07,35.7,48.1,0.32,208,7.06,0.01,0.86,43.3,0.091,18.97,10,2,11.6,3,0.06,1.76,2.7,1.4,0.6,25.5,0.05,0.02,20.5,0.021,0.17,25,29,29.9,9.82,199.9,0.9
498.9580201,6961.460492,0.5,122,1.46,178,8.1,20,49.6,1.8,7.93,0.42,0.15,61.5,9.8,28.2,12.05,25.4,1.94,4.8,0.1,0.02,20,0.02,0.08,38.2,35.5,0.42,231,1.67,0.013,0.7,15,0.084,16.94,10,2,11.5,1,0.04,1.05,2.2,0.7,0.6,39.4,0.05,0.09,9,0.034,0.16,25.5,32,9.5,6.1,50.7,0.1
496.2695147,6969.155487,0.5,71,1.36,25.3,1.3,20,53.2,1.5,1.54,0.5,0.36,51.7,6.3,23,11.31,14.3,1.65,4.4,0.1,0.02,15,0.02,0.06,33,34.8,0.38,190,1.49,0.015,0.79,13.4,0.106,16.32,10,2,9.3,1,0.02,0.37,2.7,0.6,0.4,39.1,0.05,0.02,14.1,0.03,0.14,43.3,46,5.4,6.58,54.6,0.2
497.8800917,6933.537463,0.5,834,0.5,17.8,0.2,20,1594.5,0.8,0.19,1.21,8.72,32.9,12.7,11,0.95,90.52,2.1,1.1,0.1,0.03,190,0.03,0.1,20.6,4.9,0.29,238,13.78,0.003,0.08,166.1,0.228,16.61,10,2,6.7,14,0.09,5.48,2.6,3.4,0.1,56.7,0.05,0.1,2.8,0.004,0.41,4.5,55,0.1,20.27,1331.2,2.7
506.545893,6921.035125,0.5,89,1.63,16.1,0.7,20,124.6,0.5,0.29,0.8,2.29,115.4,71.7,25,2.16,35.45,3.82,4.4,0.1,0.08,7,0.02,0.06,56.7,54.7,0.75,1386,1.89,0.009,0.12,144.5,0.082,18.66,10,2,5.7,1,0.02,0.75,2.2,0.5,0.1,33.7,0.05,0.02,9.9,0.014,0.1,1.4,24,0.7,20.27,473.9,4
506.1028542,6916.677687,0.5,85,1.67,20.6,0.2,20,56.9,0.9,0.33,1.35,0.81,84.4,47.5,25.3,3.59,33.8,3.63,4.7,0.1,0.05,7,0.02,0.08,45.8,56.5,0.77,906,1.31,0.019,0.3,96.7,0.086,15.94,10,2,10.2,1,0.02,0.58,2.3,0.4,0.2,57,0.05,0.02,9.5,0.027,0.11,1.2,26,0.2,16.54,310.1,2.6
484.138246,6979.539829,0.5,223,1.93,20.5,1.4,20,85.4,1.3,0.35,0.73,0.79,33.8,19.3,34.4,7.49,29.38,4.17,5.4,0.1,0.03,14,0.04,0.13,15.7,43,1.1,563,4.32,0.017,0.14,53.4,0.135,33.83,10,2,16.4,2,0.17,2.56,3.6,0.8,0.5,,0.05,0.04,6,0.013,0.28,1,35,0.5,13.18,127.2,1.2
