X,Y,Z,THICKNESS
-5776.0,37610.0,0.5,3.17
-4175.0,37033.0,0.5,2.88
-5105.0,36335.0,0.5,3.23
-5299.0,36293.0,0.5,2.99
-5403.0,36950.0,0.5,3.1
-5110.0,37065.0,0.5,3.08
-4023.0,36929.0,0.5,2.32
-5790.0,37745.0,0.5,3.32
-5875.0,37442.0,0.5,3.11
-4190.0,36731.0,0.5,2.52
-5177.0,36902.0,0.5,2.96
-5324.0,37110.0,0.5,3.0
-5650.0,37369.0,0.5,3.28
-5227.0,36817.0,0.5,3.07
-5295.0,36740.0,0.5,3.03
-5821.0,37500.0,0.5,3.22
-5865.0,37635.0,0.5,3.21
-3988.0,34655.0,0.5,2.8
-4905.0,37170.0,0.5,3.08
-4946.0,37382.0,0.5,3.06
-4158.0,37393.0,0.5,2.92
-4905.0,37259.0,0.5,3.25
-5514.0,37148.0,0.5,3.0
-5689.0,37280.0,0.5,3.2
-4786.0,37315.0,0.5,3.2
-4032.0,37489.0,0.5,2.65
-6179.0,36412.0,0.5,3.1
-4444.0,37670.0,0.5,3.1
-4905.0,37075.0,0.5,3.18
-5560.0,36025.0,0.5,3.4
-6110.0,36315.0,0.5,3.13
-4702.0,36765.0,0.5,3.23
-5291.0,37005.0,0.5,2.97
-5732.0,36940.0,0.5,3.41
-4075.0,36775.0,0.5,2.29
-5273.0,37112.0,0.5,3.0
-4377.0,37160.0,0.5,3.1
-5347.0,33377.0,0.5,2.92
-5250.0,37024.0,0.5,2.89
-5813.0,37289.0,0.5,3.27
-5224.0,37174.0,0.5,2.95
-5670.0,36280.0,0.5,3.14
-5182.0,33587.0,0.5,2.67
-4900.0,36970.0,0.5,3.29
-4931.0,36752.0,0.5,3.15
-4945.0,36870.0,0.5,3.14
-5319.0,37170.0,0.5,3.03
-6330.0,36620.0,0.5,3.06
-5210.0,36925.0,0.5,3.23
-5380.0,33700.0,0.5,3.08
-4854.0,36534.0,0.5,3.06
-5779.0,36605.0,0.5,3.1
-5014.0,36700.0,0.5,3.14
-5465.0,36609.0,0.5,3.03
-4281.0,36815.0,0.5,3.03
-5440.0,36010.0,0.5,3.08
-5097.0,36588.0,0.5,3.0
-5450.0,36379.0,0.5,3.05
-4321.0,37552.0,0.5,2.9
-6325.0,36423.0,0.5,3.15
-4930.0,33420.0,0.5,2.7
-5946.0,35499.0,0.5,3.12
-5765.0,36536.0,0.5,2.99
-4690.0,34030.0,0.5,3.05
-5474.0,36935.0,0.5,3.03
-3124.0,36607.0,0.5,3.01
-5184.0,36635.0,0.5,2.98
-6056.0,36557.0,0.5,3.47
-5655.0,37205.0,0.5,3.17
-5808.0,36635.0,0.5,3.01
-3143.0,35654.0,0.5,2.76
-5667.0,36677.0,0.5,2.86
