East(m),North(m),Z(placeholder),NCB(m),Phi,Sw
488889.447,6202462.312,0,16.876,0.269,0.433
484869.347,6202964.824,0,14.084,0.302,0.248
482859.296,6183366.834,0,23.877,0.286,0.237
483864.322,6181859.296,0,16.824,0.295,0.229
493914.573,6187889.447,0,24.279,0.325,0.342
485371.859,6197939.698,0,9.157,0.342,0.36
482859.296,6194422.111,0,15.567,0.268,0.309
495924.623,6183869.347,0,19.917,0.319,0.427
484366.834,6184874.372,0,14.468,0.286,0.269
499944.724,6187889.447,0,27.127,0.282,0.328
485371.859,6185879.397,0,12.783,0.304,0.221
492407.035,6195427.136,0,7.561,0.321,0.218
483864.322,6179849.246,0,12.953,0.291,0.263
486376.884,6203969.849,0,14.236,0.295,0.339
486376.884,6188894.472,0,11.163,0.286,0.307
491402.01,6189899.497,0,15.299,0.304,0.36
484869.347,6180854.271,0,11.332,0.298,0.351
481854.271,6182361.809,0,19.588,0.33,0.202
506979.899,6185376.884,0,16.73,0.268,0.178
484869.347,6183869.347,0,15.022,0.303,0.301
482859.296,6194924.623,0,14.485,0.277,0.313
490899.497,6181356.784,0,21.499,0.328,0.278
481351.759,6188391.96,0,14.995,0.286,0.299
462256.281,6183366.834,0,30.305,0.256,0.207
455221.106,6193919.598,0,23.664,0.323,0.239
502457.286,6200954.774,0,37.504,0.293,0.237
477331.658,6118542.714,0,9.802,0.29,0.535
497934.673,6187386.935,0,33.079,0.259,0.308
412005.025,6162261.307,0,21.75,0.276,0.443
422055.276,6155728.643,0,8.879,0.291,0.383
464768.844,6140653.266,0,20.22,0.271,0.169
498939.698,6123065.327,0,25.877,0.288,0.297
443663.317,6142663.317,0,1.179,0.295,0.485
490899.497,6178341.709,0,31.058,0.307,0.542
474316.583,6157236.181,0,20.402,0.291,0.309
482356.784,6169296.482,0,18.512,0.331,0.259
502959.799,6187889.447,0,7.365,0.286,0.369
485371.859,6124070.352,0,22.754,0.309,0.428
437633.166,6149698.492,0,14.601,0.324,0.355
414517.588,6190904.523,0,11.071,0.265,0.371
429090.452,6139648.241,0,12.744,0.308,0.375
478839.196,6197437.186,0,10.094,0.26,0.307
427080.402,6179849.246,0,18.93,0.269,0.195
440145.729,6144170.854,0,6.389,0.275,0.383
456728.643,6158241.206,0,11.256,0.289,0.128
459743.719,6196432.161,0,22.107,0.295,0.34
419040.201,6133115.578,0,4.408,0.273,0.31
463763.819,6113517.588,0,2.926,0.293,0.554
416025.126,6165778.894,0,16.552,0.297,0.201
432608.04,6159748.744,0,5.01,0.277,0.423
483864.322,6130603.015,0,22.886,0.267,0.323
451201.005,6204974.874,0,32.337,0.29,0.102
447180.905,6206482.412,0,23.891,0.344,0.351
495924.623,6146683.417,0,28.869,0.285,0.226
509994.975,6184874.372,0,11.723,0.269,0.292
508487.437,6151708.543,0,25.629,0.293,0.316
470296.482,6135125.628,0,14.05,0.303,0.292
441653.266,6111507.538,0,0.092,0.318,0.537
445170.854,6137638.191,0,8.543,0.275,0.319
475321.608,6177336.683,0,17.469,0.303,0.292
466778.894,6121055.276,0,8.933,0.285,0.498
435120.603,6129597.99,0,7.785,0.325,0.283
505974.874,6202462.312,0,39.279,0.282,0.179
452708.543,6164271.357,0,15.311,0.284,0.382
428085.427,6171809.045,0,14.846,0.254,0.31
449693.467,6114522.613,0,8.704,0.325,0.536
423562.814,6127085.427,0,16.395,0.279,0.207
486879.397,6191909.548,0,15.151,0.265,0.196
493914.573,6170804.02,0,26.785,0.303,0.319
471804.02,6117035.176,0,9.151,0.285,0.482
418537.688,6175326.633,0,6.703,0.297,0.417
434115.578,6152713.568,0,9.6,0.265,0.263
489894.472,6209497.487,0,17.149,0.299,0.392
