DHID,SampleID,X,Y,Z,True,Estimate
DDH-0006,89,661.41557,12219.965,1119.3664,2.38768,0.61089013
DDH-0006,90,661.36645,12223.038,1115.4231,1.7344,0.76537327
DDH-0006,91,661.31537,12226.111,1111.4789,3.16521,0.90697224
DDH-0006,92,661.26234,12229.182,1107.5338,1.39967,0.98793051
DDH-0006,93,661.20736,12232.252,1103.5878,0.98688,1.2458537
DDH-0006,94,661.15043,12235.321,1099.6409,1.16721,1.5672227
DDH-0006,95,661.09155,12238.389,1095.693,1.45856,1.6997261
DDH-0006,96,661.03072,12241.456,1091.7443,4.18884,1.7721699
DDH-0006,97,660.96794,12244.521,1087.7947,2.07248,1.7165228
DDH-0006,98,660.90321,12247.585,1083.8442,3.79974,1.4495718
DDH-0006,99,660.83653,12250.648,1079.8927,6.29677,1.3101169
DDH-0006,100,660.7679,12253.71,1075.9404,6.25359,0.79547943
DDH-0006,101,660.69714,12256.771,1071.9875,9.48175,0.92812112
DDH-0006,102,660.62064,12259.839,1068.0398,4.58115,0.9036653
DDH-0006,103,660.53696,12262.916,1064.1,11.05587,0.69850379
DDH-0006,104,660.44611,12266.003,1060.1679,1.26997,0.38897269
DDH-0006,105,660.34808,12269.1,1056.2435,1.92978,0.50509304
DDH-0006,106,660.24289,12272.206,1052.327,0.06734,0.6904413
DDH-0007,107,622.77194,12272.479,1181.9842,6.63734,2.6602988
DDH-0007,108,622.75633,12277.268,1183.4198,5.7013,2.9099659
DDH-0007,109,622.74334,12282.054,1184.8673,6.34429,3.0110254
DDH-0007,110,622.73217,12286.837,1186.3241,2.46199,2.8618875
DDH-0007,111,622.71391,12291.626,1187.7604,0.86308,2.6295213
DDH-0007,112,622.68609,12296.424,1189.1681,0.19738,2.20812
DDH-0007,113,622.64869,12301.23,1190.547,0.21782,1.6886522
DDH-0007,114,622.60171,12306.044,1191.897,0.01563,1.6112052
DDH-0007,115,622.54517,12310.866,1193.2182,0.03836,1.2292228
DDH-0007,116,622.47967,12315.695,1194.5123,0.03631,0.67340789
DDH-0007,117,622.41552,12320.289,1195.7374,0.28475,0.43248507
DDH-0008,118,908.69401,12314.186,1186.7595,1.11178,2.5751588
DDH-0008,119,908.84341,12318.481,1184.2043,1.63248,2.4605218
DDH-0008,120,908.88739,12322.777,1181.6468,2.19446,2.3317287
DDH-0008,121,908.83901,12327.072,1179.0877,6.81538,2.2531736
DDH-0008,122,908.77688,12331.365,1176.5252,3.64558,1.9978169
DDH-0008,123,908.71408,12335.656,1173.959,3.50073,1.8569118
DDH-0008,124,908.65062,12339.945,1171.389,1.15452,1.7599524
DDH-0008,125,908.58651,12344.231,1168.8154,0.17684,1.6416497
DDH-0008,126,908.52173,12348.515,1166.2379,0.0582,1.5362072
DDH-0008,127,908.47945,12351.299,1164.5616,0,1.5111587
DDH-0009,128,743.61081,12256.13,1152.2702,2.34961,3.4965125
DDH-0009,129,743.69863,12261.122,1152,4.38519,3.7960723
DDH-0009,130,743.77405,12266.113,1151.7132,4.13358,4.0395266
DDH-0009,131,743.8334,12271.103,1151.4066,5.23092,4.2079339
DDH-0009,132,743.87667,12276.093,1151.0802,4.25444,4.3081467
DDH-0009,133,743.90387,12281.08,1150.734,2.04359,4.532101
DDH-0009,134,743.91499,12286.067,1150.368,3.03853,4.5208457
DDH-0009,135,743.91212,12291.052,1149.9835,1.12626,4.5988875
DDH-0009,136,743.90132,12296.036,1149.5841,0.70441,4.1490508
DDH-0009,137,743.88295,12301.019,1149.1702,3.80235,3.5957299
DDH-0009,138,743.85703,12306.001,1148.7418,3.10778,3.1699153
DDH-0009,139,743.82355,12310.981,1148.2988,0.37093,3.3528178
DDH-0009,140,743.78251,12315.96,1147.8412,1.67917,3.474327
DDH-0009,141,743.73392,12320.937,1147.3691,1.65682,2.611076
DDH-0009,142,743.67777,12325.913,1146.8824,0.24022,2.1869787
DDH-0009,143,743.62932,12329.748,1146.4973,1.6249,1.7446285
DDH-0010,144,659.69714,12259.682,1184.6918,3.56165,3.8589538
DDH-0010,145,659.75467,12264.334,1186.5248,1.43987,4.0241869
DDH-0010,146,660.87459,12296.868,1199.3748,2.348,2.997254
DDH-0010,147,661.02725,12301.547,1201.1311,1.76063,2.5968729
DDH-0010,148,661.15688,12306.24,1202.8515,0.14848,2.2245131
DDH-0010,149,661.26346,12310.947,1204.5359,0.07271,1.8523764
DDH-0010,150,661.34699,12315.666,1206.1841,2.06458,1.5198977
