DHID,SampleID,X,Y,Z,True,Estimate
DDH-0006,97,660.96794,12244.521,1087.7947,0,0.712997
DDH-0006,98,660.90321,12247.585,1083.8442,1,0.60077009
DDH-0006,99,660.83653,12250.648,1079.8927,1,0.72803547
DDH-0006,100,660.7679,12253.71,1075.9404,1,0.77232009
DDH-0006,101,660.69714,12256.771,1071.9875,1,0.75679266
DDH-0006,102,660.62064,12259.839,1068.0398,1,0.66466031
DDH-0006,103,660.53696,12262.916,1064.1,1,0.4713894
DDH-0006,104,660.44611,12266.003,1060.1679,0,0.49966419
DDH-0006,105,660.34808,12269.1,1056.2435,0,0.3174221
DDH-0006,106,660.24289,12272.206,1052.327,0,0.24010489
DDH-0007,107,622.77194,12272.479,1181.9842,1,0.63632424
DDH-0007,108,622.75633,12277.268,1183.4198,1,0.62780475
DDH-0007,109,622.74334,12282.054,1184.8673,1,0.47570701
DDH-0007,110,622.73217,12286.837,1186.3241,0,0.49763245
DDH-0007,111,622.71391,12291.626,1187.7604,0,0.29315249
DDH-0007,112,622.68609,12296.424,1189.1681,0,0.16651964
DDH-0007,113,622.64869,12301.23,1190.547,0,0.088194226
DDH-0007,114,622.60171,12306.044,1191.897,0,0.041048509
DDH-0007,115,622.54517,12310.866,1193.2182,0,0.015240882
DDH-0007,116,622.47967,12315.695,1194.5123,0,0.003673625
DDH-0007,117,622.41552,12320.289,1195.7374,0,0
DDH-0008,118,908.69401,12314.186,1186.7595,0,0.32842672
DDH-0008,119,908.84341,12318.481,1184.2043,0,0.34185437
DDH-0008,120,908.88739,12322.777,1181.6468,0,0.46830748
DDH-0008,121,908.83901,12327.072,1179.0877,1,0.37984416
DDH-0008,122,908.77688,12331.365,1176.5252,1,0.45178181
DDH-0008,123,908.71408,12335.656,1173.959,1,0.35556856
DDH-0008,124,908.65062,12339.945,1171.389,0,0.41794448
DDH-0008,125,908.58651,12344.231,1168.8154,0,0.24445
DDH-0008,126,908.52173,12348.515,1166.2379,0,0.14089161
DDH-0008,127,908.47945,12351.299,1164.5616,0,0.12128531
DDH-0009,128,743.61081,12256.13,1152.2702,0,0.85187702
DDH-0009,129,743.69863,12261.122,1152,1,0.59682039
DDH-0009,130,743.77405,12266.113,1151.7132,1,0.71664409
DDH-0009,131,743.8334,12271.103,1151.4066,1,0.72321473
DDH-0009,132,743.87667,12276.093,1151.0802,1,0.62787558
DDH-0009,133,743.90387,12281.08,1150.734,0,0.76786086
DDH-0009,134,743.91499,12286.067,1150.368,1,0.41695101
DDH-0009,135,743.91212,12291.052,1149.9835,0,0.5835223
DDH-0009,136,743.90132,12296.036,1149.5841,0,0.56043686
DDH-0009,137,743.88295,12301.019,1149.1702,1,0.34774149
DDH-0009,138,743.85703,12306.001,1148.7418,1,0.2939885
DDH-0009,139,743.82355,12310.981,1148.2988,0,0.38496569
DDH-0009,140,743.78251,12315.96,1147.8412,0,0.21955639
DDH-0009,141,743.73392,12320.937,1147.3691,0,0.11816264
DDH-0009,142,743.67777,12325.913,1146.8824,0,0.059596518
DDH-0009,143,743.62932,12329.748,1146.4973,0,0.032181694
DDH-0010,144,659.69714,12259.682,1184.6918,1,0.19795878
DDH-0010,145,659.75467,12264.334,1186.5248,0,0.68211793
DDH-0010,146,660.87459,12296.868,1199.3748,0,0.20120227
DDH-0010,147,661.02725,12301.547,1201.1311,0,0.14649215
DDH-0010,148,661.15688,12306.24,1202.8515,0,0.15256817
DDH-0010,149,661.26346,12310.947,1204.5359,0,0.21757191
DDH-0010,150,661.34699,12315.666,1206.1841,0,0.34365407
DDH-0010,151,661.40746,12320.399,1207.796,1,0.21838432
DDH-0010,152,661.45188,12325.141,1209.3826,1,0.21107089
DDH-0010,153,661.49574,12329.882,1210.9683,0,0.3574343
DDH-0010,154,661.53368,12333.984,1212.3399,0,0.27648251
DDH-0011,155,1105.9492,12242.374,1003.536,0,0.41928411
DDH-0011,156,1105.9158,12246.24,1000.3645,0,0.37991242
DDH-0011,157,1105.891,12250.095,997.18076,1,0.091647025
DDH-0011,158,1105.8753,12253.94,993.98478,0,0.26340475
DDH-0011,159,1105.8574,12257.776,990.77731,0,0.14562384
DDH-0011,160,1105.8326,12261.602,987.55869,0,0.07294672
DDH-0011,161,1105.8033,12265.415,984.32485,0,0.025043202
DDH-0011,162,1105.7738,12269.209,981.06848,0,0
DDH-0012,163,701.84142,12244.718,1134.3467,0,0.60196518
DDH-0012,164,701.81894,12249.342,1132.4442,1,0.37956675
DDH-0012,165,701.79624,12253.968,1130.5458,1,0.44176327
DDH-0012,166,701.77276,12258.588,1128.6352,0,0.66353345
DDH-0012,167,701.74841,12263.203,1126.7097,0,0.71671184
DDH-0012,168,701.7232,12267.811,1124.7693,1,0.63160583
DDH-0012,169,701.69712,12272.413,1122.814,1,0.76699139
DDH-0012,170,701.67016,12277.008,1120.8439,1,0.83595566
DDH-0012,171,701.64235,12281.597,1118.859,1,0.87972485
DDH-0012,172,701.61366,12286.18,1116.8593,1,0.88248067
DDH-0012,173,701.5843,12290.757,1114.8472,1,0.85428782
DDH-0012,174,701.55537,12295.335,1112.8378,1,0.79557094
DDH-0012,175,701.52707,12299.916,1110.8335,1,0.68330773
DDH-0012,176,701.4994,12304.499,1108.8343,1,0.47066391
DDH-0012,177,701.47235,12309.084,1106.8402,0,0.46055705
DDH-0012,178,701.44585,12313.671,1104.8507,0,0.24986145
DDH-0012,179,701.41943,12318.258,1102.8617,0,0.12067656
DDH-0012,180,701.39301,12322.845,1100.8728,0,0.04241496
DDH-0012,181,701.37634,12325.74,1099.6177,0,0
DDH-0013,182,973.69823,12326.933,1178.408,0,0.41615988
DDH-0013,183,973.67081,12328.947,1173.8318,1,0.047875167
DDH-0013,184,973.64338,12330.961,1169.2556,0,0.28564242
DDH-0013,185,973.61596,12332.976,1164.6794,0,0.18249349
DDH-0013,186,973.58853,12334.99,1160.1032,0,0.1159239
DDH-0013,187,973.56111,12337.004,1155.527,0,0.073711388
DDH-0013,188,973.53368,12339.019,1150.9507,0,0.046379475
DDH-0013,189,973.50626,12341.033,1146.3745,0,0.028337983
DDH-0013,190,973.47884,12343.048,1141.7983,0,0.018544766
DDH-0013,191,973.45141,12345.062,1137.2221,0,0.015091416
DDH-0013,192,973.42399,12347.076,1132.6459,0,0.039196322
DDH-0013,193,973.39656,12349.091,1128.0697,0,0.083939951
DDH-0013,194,973.36914,12351.105,1123.4935,0,0.14545178
DDH-0013,195,973.34172,12353.119,1118.9173,0,0.26088233
DDH-0013,196,973.31429,12355.134,1114.3411,1,0.052245343
DDH-0013,197,973.28758,12357.096,1109.8839,0,0.44034352
DDH-0014,198,1069.3251,12236.25,1024.4214,1,0.85186994
DDH-0014,199,1069.8582,12240.777,1022.3649,1,0.8842185
DDH-0014,200,1070.389,12245.3,1020.301,1,0.86898652
DDH-0014,201,1070.8998,12249.666,1018.3003,1,0.78204643
DDH-0015,202,1067.8854,12249.035,1053.1903,1,0.95249537
DDH-0015,203,1068.3671,12253.969,1052.5388,1,0.97532634
DDH-0015,204,1068.8745,12258.902,1051.8983,1,0.97672779
DDH-0015,205,1069.3837,12263.831,1051.2278,1,0.96355837
DDH-0015,206,1069.895,12268.754,1050.5219,1,0.93258598
DDH-0015,207,1070.4069,12273.672,1049.7779,1,0.87246284
DDH-0015,208,1070.8818,12278.592,1049.0253,1,0.76673484
DDH-0015,209,1071.3086,12283.516,1048.2725,1,0.57778729
DDH-0015,210,1071.6398,12287.434,1047.6514,0,0.8057414
DDH-0016,211,982.40784,12260.447,1078.9502,0,0.78395254
DDH-0016,212,982.45721,12262.882,1074.5837,1,0.41642234
DDH-0016,213,982.50842,12265.311,1070.2139,1,0.38297812
DDH-0016,214,982.56145,12267.735,1065.8407,0,0.52898195
DDH-0016,215,982.61608,12270.153,1061.4647,0,0.45818811
DDH-0016,216,982.67093,12272.57,1057.0882,1,0.15896978
DDH-0016,217,982.72579,12274.987,1052.7117,0,0.30230972
DDH-0016,218,982.78065,12277.405,1048.3352,0,0.18367042
DDH-0016,219,982.8355,12279.822,1043.9588,0,0.10334563
DDH-0016,220,982.88103,12281.828,1040.3263,0,0.055417193
DDH-0017,221,940.93696,12308.662,1200.3489,1,0.052920899
DDH-0017,222,940.9005,12311.841,1196.4899,0,0.38393244
DDH-0017,223,940.86246,12315.023,1192.6331,0,0.26316372
DDH-0017,224,940.82281,12318.207,1188.7785,0,0.23815922
DDH-0017,225,940.78157,12321.394,1184.9262,0,0.28800913
DDH-0017,226,940.73874,12324.584,1181.0761,0,0.42788627
DDH-0017,227,940.6943,12327.777,1177.2282,1,0.34513428
DDH-0017,228,940.64828,12330.972,1173.3825,1,0.42071899
DDH-0017,229,940.60065,12334.17,1169.5391,0,0.65971822
DDH-0017,230,940.55143,12337.37,1165.6979,1,0.40065182
DDH-0017,231,940.50063,12340.573,1161.8589,1,0.3170811
DDH-0017,232,940.44917,12343.777,1158.0209,0,0.37566301
DDH-0017,233,940.39772,12346.981,1154.1828,0,0.20481666
DDH-0017,234,940.34627,12350.186,1150.3447,0,0.11525026
DDH-0017,235,940.31956,12351.849,1148.3528,0,0.085333466
DDH-0018,236,1107.851,12249.464,1057.205,0,0.93602659
DDH-0018,237,1107.881,12254.424,1056.5726,1,0.66415376
DDH-0018,238,1107.9217,12259.383,1055.9312,1,0.79762758
DDH-0018,239,1107.9881,12264.338,1055.2673,1,0.84468974
DDH-0018,240,1108.0802,12269.29,1054.581,1,0.8299219
DDH-0018,241,1108.1981,12274.238,1053.8723,1,0.75268996
DDH-0018,242,1108.3416,12279.182,1053.1412,1,0.57847324
DDH-0018,243,1108.5058,12284.121,1052.3828,0,0.78275699
DDH-0019,244,1106.8343,12241.373,1032.8837,0,0.847283
DDH-0019,245,1106.8631,12245.915,1030.7918,1,0.60400518
DDH-0019,246,1106.857,12250.457,1028.702,1,0.72225025
