DHID,FROM,TO,x,y,z,startx,starty,startz,endx,endy,endz,CU,ELEM_A,ELEM_B,ELEM_C,ELEM_D,DENSITY,GEOCODE
DDH-0001,155,155.55,822.5354522,12298.37732,1065.471315,822.5264686,12298.28085,1065.728681,822.5444357,12298.4738,1065.21395,,,0,38.54,0.021,4.042,OR4
DDH-0002,0,5,943.4799853,12213.51328,1308.742993,943.485,12212.356,1310.959,943.4746379,12214.67019,1306.526799,,,,,,,B
DDH-0002,5,10,943.4689579,12215.82675,1304.310417,943.4746379,12214.67019,1306.526799,943.4629451,12216.98294,1302.093847,,,,,,,B
DDH-0002,10,15,943.4565997,12218.13877,1299.877091,943.4629451,12216.98294,1302.093847,943.4499216,12219.29424,1297.660147,,,,,,,B
DDH-0002,15,20,943.4429109,12220.44936,1295.443016,943.4499216,12219.29424,1297.660147,943.4355675,12221.60411,1293.225698,,,,,,,B
DDH-0002,20,25,943.4278914,12222.75849,1291.008193,943.4355675,12221.60411,1293.225698,943.4198826,12223.91252,1288.790502,,,,,,,D
DDH-0002,25,30,943.4115411,12225.06619,1286.572624,943.4198826,12223.91252,1288.790502,943.402867,12226.21949,1284.354559,,,,,,,D
DDH-0002,30,35,943.3938602,12227.37244,1282.136307,943.402867,12226.21949,1284.354559,943.3845208,12228.52502,1279.91787,,,,,,,D
DDH-0002,35,40,943.3748487,12229.67724,1277.699246,943.3845208,12228.52502,1279.91787,943.3648439,12230.8291,1275.480436,,,,,,,D
DDH-0002,40,45,943.3545064,12231.9806,1273.261439,943.3648439,12230.8291,1275.480436,943.3438363,12233.13174,1271.042257,,,,,,,D
DDH-0002,45,50,943.3328335,12234.28251,1268.822889,943.3438363,12233.13174,1271.042257,943.321498,12235.43293,1266.603335,,,,,,,D
DDH-0002,50,55,943.3098298,12236.58298,1264.383595,943.321498,12235.43293,1266.603335,943.297829,12237.73267,1262.16367,,,,,,,D
DDH-0002,55,60,943.2854956,12238.882,1259.943559,943.297829,12237.73267,1262.16367,943.2728294,12240.03096,1257.723263,,,,,,,D
DDH-0002,60,65,943.2598306,12241.17957,1255.502781,943.2728294,12240.03096,1257.723263,943.2464991,12242.32781,1253.282114,,,,,,,D
DDH-0002,65,70,943.232835,12243.47569,1251.061262,943.2464991,12242.32781,1253.282114,943.2188382,12244.62321,1248.840225,,,,,,,D
DDH-0002,70,75,943.2045087,12245.77037,1246.619003,943.2188382,12244.62321,1248.840225,943.1898466,12246.91716,1244.397597,,,,,,,D
DDH-0002,75,80,943.1748518,12248.06359,1242.176005,943.1898466,12246.91716,1244.397597,943.1595244,12249.20966,1239.954229,,,,,,,B
DDH-0002,80,85,943.1438643,12250.35537,1237.732269,943.1595244,12249.20966,1239.954229,943.1278715,12251.50072,1235.510124,,,,,,,B
DDH-0002,85,90,943.1115461,12252.6457,1233.287794,943.1278715,12251.50072,1235.510124,943.094888,12253.79032,1231.065281,,,,,,,B
DDH-0002,90,95,943.0778972,12254.93458,1228.842583,943.094888,12253.79032,1231.065281,943.0605738,12256.07847,1226.619701,,,,,,,B
DDH-0002,95,100,943.0429178,12257.22201,1224.396635,943.0605738,12256.07847,1226.619701,943.0249291,12258.36518,1222.173386,,,,,,,D
DDH-0002,100,105,943.0068131,12259.50825,1219.95009,943.0249291,12258.36518,1222.173386,942.9887752,12260.65151,1217.726885,,,,,,,D
DDH-0002,105,110,942.9708153,12261.79494,1215.503772,942.9887752,12260.65151,1217.726885,942.9529336,12262.93856,1213.280749,,,,,,,D
DDH-0002,110,115,942.93513,12264.08235,1211.057818,942.9529336,12262.93856,1213.280749,942.9174044,12265.22632,1208.834978,,,,,,,D
DDH-0002,115,120,942.899757,12266.37047,1206.612229,942.9174044,12265.22632,1208.834978,942.8821876,12267.5148,1204.389572,,,,,,,C
DDH-0002,120,125,942.8646963,12268.6593,1202.167006,942.8821876,12267.5148,1204.389572,942.8472831,12269.80399,1199.944531,,,,,,,C
DDH-0002,125,130,942.829948,12270.94885,1197.722147,942.8472831,12269.80399,1199.944531,942.812691,12272.09389,1195.499855,,,,,,,C
DDH-0002,130,135,942.795512,12273.23911,1193.277654,942.812691,12272.09389,1195.499855,942.7784112,12274.38451,1191.055544,,,,,,,C
DDH-0002,135,140,942.7613884,12275.53008,1188.833526,942.7784112,12274.38451,1191.055544,942.7444438,12276.67584,1186.611599,,,,,,,C
DDH-0002,140,145,942.7275772,12277.82177,1184.389763,942.7444438,12276.67584,1186.611599,942.7107887,12278.96788,1182.168019,,,,,,,C
DDH-0002,145,150,942.6940783,12280.11417,1179.946367,942.7107887,12278.96788,1182.168019,942.677446,12281.26064,1177.724805,,,,,,,C
DDH-0002,150,155,942.6608918,12282.40729,1175.503336,942.677446,12281.26064,1177.724805,942.6444157,12283.55411,1173.281957,,,,,,,C
DDH-0002,155,160,942.6280177,12284.70111,1171.060671,942.6444157,12283.55411,1173.281957,942.6116978,12285.8483,1168.839475,,,,,,,C
