DHID,FROM,TO,CU,ELEM_A,ELEM_B,ELEM_C,ELEM_D,DENSITY
DDH-0015,126,126.56,4.6757,,30,57.85,0.801,3.618
DDH-0015,126.56,127,6.8596,,90.048,1002.71,6.489,4.15
DDH-0015,127,128,8.0903,,78.14,694.03,,4.323
DDH-0015,128,129,6.6758,,78.184,,8.34,4.041
DDH-0015,129,130,10.3744,,73.042,269.32,6.709,4.066
DDH-0015,130,131,7.575,,84.63,1156.45,6.289,4.097
DDH-0015,131,132,7.0769,,102.633,2371.24,8.917,4.089
DDH-0015,132,133,8.8212,,96.656,327.85,8.642,3.91
DDH-0015,133,134,9.1064,,78.281,365.83,6.157,4.014
DDH-0015,134,135,13.3507,,114.32,288.68,3.091,
DDH-0015,135,136,15.0672,,42.625,346.97,1.688,3.908
DDH-0015,136,136.26,9.4428,,30.465,173.27,,4.063
DDH-0015,136.26,137,9.9373,,24.395,77.09,0.654,3.92
DDH-0015,137,138,11.169,,36.276,77.08,1.167,
DDH-0015,138,139,7.0708,,24.177,77.05,2.539,4.142
DDH-0015,139,140,4.2544,,12.059,76.97,0.931,4.415
DDH-0015,140,140.7,3.855,,12.104,76.98,0.33,4.334
DDH-0015,140.7,142,3.4722,,24.236,192.54,0.474,4.486
DDH-0015,142,142.96,1.4791,,1.217,96.19,0.126,4.036
DDH-0016,260.57,261.04,0.0469,,0,19.25,0.017,2.871
DDH-0016,261.04,262,1.0992,1.462,79.967,558.16,0.824,4.576
DDH-0016,262,263,0.7068,2.436,143.782,2368.16,2.821,4.367
DDH-0016,263,264,1.8781,1.706,103.364,1039.59,6.869,4.248
DDH-0016,264,265,3.8841,1.462,80.212,943.05,8.146,4.091
DDH-0016,265,266,5.5959,0.744,57.331,673.67,4.729,4.016
DDH-0016,266,266.63,3.6094,1.013,64.094,443.44,4.051,4.2
DDH-0016,266.63,267.35,4.8848,0.438,43.907,231.38,2.063,4.343
DDH-0016,267.35,268,3.7295,1.207,38.744,230.99,1.767,
DDH-0016,268,269.22,3.6421,0.774,38.587,192.65,1.01,4.447
DDH-0016,269.22,270,2.8593,1.461,36.365,212.03,0.472,4.555
DDH-0016,270,271,,0.942,60.173,1346.64,1.829,4.457
DDH-0016,271,272,7.4309,0.76,77.857,828.01,1.204,
DDH-0016,272,273,6.2478,,83.998,577.36,1.772,4.038
DDH-0016,273,274,7.3688,0.731,69.351,96.18,3.369,4.29
DDH-0016,274,275.13,7.1285,,123.213,269.97,4.76,4.027
DDH-0016,275.13,275.62,2.5944,0.567,41.371,57.74,2.624,4.105
DDH-0016,275.62,277.5,0.0157,0,0,0,0.021,2.773
DDH-0016,277.5,278.15,2.8513,0.401,16.97,38.5,1.226,4.455
DDH-0016,278.15,279,2.8179,0.398,,38.5,0.692,4.551
DDH-0016,279,280,1.8877,0.512,23.071,57.81,3.454,4.155
DDH-0016,280,281.24,2.4901,0.337,18.068,38.47,0.761,
DDH-0016,281.24,282,4.6305,0.705,30.012,38.55,0.065,4.333
DDH-0016,282,283,2.9591,0.618,21.604,38.51,0.251,4.256
DDH-0016,283,284,1.8325,0.361,9.711,38.55,0.352,4.622
DDH-0016,284,285,2.5026,0.338,6.053,19.25,0.127,4.452
DDH-0016,285,286,3.0466,0.374,8.518,19.27,0.057,4.418
DDH-0016,286,287,7.1884,0.523,20.475,38.51,0.017,4.282
DDH-0016,287,288,5.5316,0.445,14.463,38.53,0.022,
DDH-0016,288,289.3,1.6426,,0,19.25,0.031,4.397
DDH-0016,289.3,289.8,1.0202,,0,19.26,0.008,3.804
DDH-0016,289.8,290.17,0.6031,,0,38.48,0.013,4.142
DDH-0016,290.17,290.75,0.4387,,0,19.24,0.009,4.289
DDH-0016,290.75,291.47,1.2553,,0,19.26,0.009,4.545
DDH-0016,291.47,291.97,0.2744,,0,19.25,0.035,3.998
DDH-0016,291.97,293,0.8745,,0,19.24,0.026,4.521
DDH-0016,293,293.86,1.9573,,0,38.52,0.013,4.594
DDH-0016,293.86,294.4,1.4014,,0,19.26,0.013,4.472
DDH-0016,294.4,295.4,0.2886,,0,19.27,0.017,3.604
DDH-0016,295.4,295.8,5.6067,,0,19.26,0.191,4.188
DDH-0016,295.8,296.7,0.534,,0,19.26,0.021,4.362
DDH-0016,296.7,297.7,0.9994,,0,19.28,0.013,4.564
DDH-0016,297.7,298.22,0.7119,,0,19.24,0.017,3.777
DDH-0016,298.22,299,0.4992,,0,19.24,0.017,4.438
DDH-0016,299,300,0.8734,,0,19.24,0.008,4.524
DDH-0016,300,301,0.8317,,0,19.24,0.008,4.414
DDH-0016,301,302.04,0.4155,,0,19.26,0.009,3.911
DDH-0016,302.04,303,0.4938,,0,19.26,0.004,3.901
DDH-0016,303,304,0.2523,,0,19.26,0.013,3.879
DDH-0016,304,305,0.0937,,0,19.26,0.013,3.058
DDH-0016,305,306,0.1484,,0,19.24,0.004,3.311
DDH-0016,306,307,0.1169,,0,19.26,0.004,3.773
DDH-0016,307,308.3,0.3853,,0,19.25,0.004,3.258
DDH-0017,149.3,150.65,3.1968,3.75,272.568,1059.25,2.514,4.92
DDH-0017,150.65,152,1.111,3.016,279.872,1562.12,0.91,4.934
DDH-0017,152,153.1,0.4363,2.666,130.731,1270.92,0.698,4.669
DDH-0017,153.1,154,0.3914,3.018,108.347,1539.74,3.029,4.694
DDH-0017,154,155,0.2284,2.68,,2080.53,5.697,4.586
DDH-0017,155,156.3,0.2277,2.797,90.025,2853.09,7.035,4.718
DDH-0017,156.3,157.03,0.196,3.027,89.218,1519.72,5.82,4.703
DDH-0017,157.03,158.37,0.2884,3.62,93.647,885.56,6.127,4.164
DDH-0017,158.37,159.45,0.4558,3.534,87.557,770.31,9.4,4.29
DDH-0017,159.45,160.95,,2.649,62.836,500.42,6.418,4.468
DDH-0017,160.95,162.28,0.7304,1.805,50.429,481.28,9.735,4.348
DDH-0017,162.28,162.85,,1.948,48.561,462.32,6.82,
DDH-0017,162.85,163.27,1.0383,1.564,44.713,327.21,6.373,4.553
DDH-0017,163.27,164.72,1.4645,1.813,81.312,462.82,9.79,4.225
DDH-0017,164.72,165.45,2.4158,2.416,91.621,596.72,7.814,4.234
DDH-0017,165.45,166,1.5971,0.976,47.57,308.36,2.178,4.431
DDH-0017,166,167,,1.117,45.838,307.98,5.969,4.226
DDH-0017,167,168,2.5755,1.12,41.211,963.7,5.856,4.393
DDH-0017,168,168.64,1.5449,1.579,48.312,1097.48,7.655,4.312
DDH-0017,168.64,170.1,1.5722,1.452,80.258,866.18,7.434,4.13
DDH-0017,170.1,171.18,2.5302,1.218,58.984,963.4,3.608,4.385
DDH-0017,171.18,171.65,3.341,,59.151,,4.366,4.236
DDH-0017,171.65,172.28,3.0775,1.208,67.097,577.22,,4.353
DDH-0017,172.28,173.39,2.5702,0.987,85.193,,3.79,4.508
DDH-0017,173.39,174.89,2.1048,0.839,48.433,577.84,1.972,4.436
DDH-0017,174.89,176,5.5703,0.972,77.477,2289.3,2.803,4.372
DDH-0017,176,177,3.9937,0.707,70.907,577.26,1.666,4.453
DDH-0017,177,178,2.4133,1.116,45.959,3046.6,1.574,4.026
DDH-0017,178,179.14,1.5379,1.118,26.831,173.46,0.177,4.36
DDH-0017,179.14,180.2,5.7334,1.111,48.338,578.47,1.731,4.265
DDH-0017,180.2,180.75,5.5669,1.701,109.421,962.24,3.414,4.224
DDH-0017,180.75,182.2,5.2361,1.447,62.433,1116.87,3.313,4.243
DDH-0017,182.2,183,3.5918,1.214,81.707,770.68,5.057,4.249
DDH-0017,183,184,3.319,1.573,63.429,1657.04,2.298,4.384
DDH-0017,184,185,2.9844,1.205,65.753,2696.44,1.877,4.444
DDH-0017,185,186,3.4207,,36.501,808.45,1.073,4.244
DDH-0017,186,187,2.1921,,24.255,885.68,0.517,4.337
DDH-0017,187,188.52,0.4724,,18.209,269.42,0.135,4.112
DDH-0017,188.52,190,1.3307,,24.298,615.59,0.309,4.588
DDH-0017,190,191.25,6.4918,,48.124,2097.07,2.266,4.339
DDH-0017,191.25,192.48,2.3078,,24.06,423.52,0.266,4.651
DDH-0017,192.48,193.12,4.733,,28.953,538.86,0.9,4.445
DDH-0017,193.12,193.68,2.8601,,24.379,192.44,0.665,4.205
DDH-0017,193.68,194.47,4.2508,,24.294,173.23,0.763,4.138
DDH-0017,194.47,195.65,3.0854,,18.124,308.57,0.417,4.38
DDH-0017,195.65,196.25,3.0126,,0,327.37,0.269,4.529
DDH-0017,196.25,197,2.414,,21.607,327.72,0.75,3.988
DDH-0017,197,197.44,2.3458,,0,211.97,0.404,4.094
DDH-0017,197.44,198.44,4.7663,,0,211.85,0.724,4.386
DDH-0017,198.44,199.44,5.4019,,0,404.91,1.267,4.393
DDH-0017,199.44,200.44,3.2424,,0,212.12,1.715,4.441
DDH-0017,200.44,201.07,2.7573,,18.11,115.47,0.41,4.66
DDH-0017,201.07,201.62,2.1756,,18.296,76.98,0.288,4.543
DDH-0017,201.62,202.57,2.5537,,24.011,115.48,0.562,4.526
DDH-0017,202.57,203.56,2.3497,,18.128,115.52,0.081,4.386
DDH-0017,203.56,204.1,2.3214,,21.731,134.85,0.104,4.582
DDH-0017,204.1,205,1.986,,17.079,77.12,0.084,4.419
DDH-0017,205,206,0.7808,,0,77.07,0.052,4.738
DDH-0017,206,207,0.5582,,0,57.73,0.009,4.167
DDH-0017,207,207.4,,,0,115.58,0.021,4.443
DDH-0017,207.4,208.08,0.3234,,0,57.74,0.009,4.754
DDH-0017,208.08,209,0.4298,,0,57.84,0.03,3.863
DDH-0017,209,210,0.3209,,0,57.74,0.042,4.194
DDH-0017,210,211.53,1.2068,,0,57.72,0.004,
DDH-0017,211.53,212.48,,,0,57.8,0.004,4.018
DDH-0017,212.48,214,3.8697,,0,57.73,0.008,4.576
DDH-0017,214,215.19,0.9433,,0,57.74,0.008,3.836
DDH-0018,84.24,84.6,0.0625,,0,19.26,0.026,2.7
DDH-0018,84.6,85.6,2.9913,0.424,150.172,2732.01,4.518,4.624
DDH-0018,85.6,86.6,3.7607,0.424,138.921,462.74,7.162,4.299
DDH-0018,86.6,87.6,4.6321,0.424,66.728,231.28,2.323,4.27
DDH-0018,87.6,88.6,5.5969,0.425,60.275,231.24,3.029,4.347
DDH-0018,88.6,89,6.6393,0.42,42.514,211.88,2.084,4.327
DDH-0018,89,89.6,5.4905,0.421,42.225,192.41,4.474,3.985
DDH-0018,89.6,90.6,4.7659,0.423,,269.57,2.976,4.164
DDH-0018,90.6,91.6,,0.421,54.717,269.47,1.295,4.403
DDH-0018,91.6,92.6,6.9724,0.422,72.13,250.57,1.771,4.21
DDH-0018,92.6,93.6,5.3468,0.424,60.016,288.91,2.93,4.241
DDH-0018,93.6,94.6,6.4509,0.422,54.041,192.64,2.441,4.308
DDH-0018,94.6,95.6,9.1416,0.42,,269.7,1.136,4.423
DDH-0018,95.6,96.6,7.8163,0.243,36.369,462.18,0.739,4.366
DDH-0018,96.6,97.6,6.3858,0.244,36.244,230.95,2.174,
DDH-0018,97.6,98.6,7.045,0.243,30.253,211.81,0.87,4.371
DDH-0018,98.6,99.6,8.1537,0.243,36.263,289.18,1.444,
DDH-0018,99.6,100.6,9.3829,0.244,36.071,192.54,2.043,4.464
DDH-0018,100.6,101.6,9.7551,0.483,60.758,385.15,1.081,4.413
DDH-0018,101.6,102.6,10.3801,0.485,54.269,154.16,0.811,4.188
DDH-0018,102.6,103.6,10.0091,0.486,60.53,327.73,,4.354
DDH-0018,103.6,104.6,14.1711,,127.745,809.1,1.99,4.296
DDH-0018,104.6,105.6,12.8859,0.666,66.55,153.96,,4.442
DDH-0018,105.6,106.6,14.8209,0.667,108.708,230.9,2.219,4.171
DDH-0018,106.6,107.6,12.6306,0.67,60.993,231.18,2.127,4.299
DDH-0018,107.6,108.6,9.8157,0.661,36.013,231.18,,4.38
DDH-0018,108.6,109.6,6.9424,0.665,36.153,173.25,2.592,4.216
DDH-0018,109.6,110.6,11.4511,0.67,60.05,134.94,3.794,4.136
DDH-0018,110.6,111.6,13.4741,0.665,128.085,115.62,3.149,4.249
DDH-0018,111.6,112.6,7.6224,0.665,72.629,539.61,3.378,4.015
DDH-0018,112.6,113.2,7.3056,0.666,175.244,809.55,,4.25
DDH-0018,114.76,115.15,0.7789,,0,1733.61,0.391,3.038
DDH-0018,115.9,116.51,0.0157,,0,,0.306,2.778
DDH-0019,82.8,83.26,2.9318,,84.552,674.72,1.184,3.955
DDH-0019,83.26,84.26,,0.548,72.931,269.41,3.359,4.562
DDH-0019,84.26,85.26,,0.548,36.082,424.29,2.963,
DDH-0019,85.26,86.26,4.4127,0.548,30.24,501.39,2.153,
DDH-0019,86.26,87.26,5.273,0.544,36.57,578,1.675,4.669
DDH-0019,87.26,88.26,4.7196,0.544,90.975,615.76,3.575,4.64
DDH-0019,88.26,89.26,5.5286,0.542,48.117,558.9,2.234,4.614
DDH-0019,89.26,90.26,3.0745,0.609,48.181,752.1,5.644,4.473
DDH-0019,90.26,91.26,1.609,0.605,48.09,924.24,7.648,4.435
DDH-0019,91.26,92.26,2.0678,0.61,60.393,1156.83,7.123,4.484
DDH-0019,92.26,93.26,4.6821,0.607,60.919,924.58,6.89,4.467
DDH-0019,93.26,94.26,6.2765,0.303,60.479,327.16,4.285,4.157
DDH-0019,94.26,95.26,5.3581,0.304,60.175,250.16,4.373,4.365
DDH-0019,101.2,102.2,3.6043,0.304,42.081,211.86,8.598,4.476
DDH-0019,102.2,103.2,2.8237,0.304,42.673,153.94,5.898,
DDH-0019,107.1,108.1,3.5751,0.121,30.33,134.95,0.834,4.223
DDH-0019,108.1,109.1,4.8452,0.121,24.351,288.99,2.414,4.224
DDH-0019,109.1,110.1,3.5232,0.122,7.206,134.75,0.561,3.985
DDH-0019,110.1,111.1,,0.12,,250.15,0.354,3.854
DDH-0019,111.1,112.1,1.7236,0.061,0,250.62,0.189,4.242
DDH-0019,112.1,113.1,3.3157,0.061,6.063,1328.2,1.046,4.384
DDH-0019,113.1,114.1,2.5521,0.06,0,847.37,0.503,4.309
DDH-0019,114.1,115.1,1.2677,0.06,18.008,153.98,0.308,4.487
DDH-0019,115.1,116.1,0.2113,,18.188,77.13,0.383,4.468
DDH-0019,116.1,117.1,0.9394,,9.715,57.73,0.914,4.354
DDH-0019,117.1,118.1,0.275,,7.308,77.03,0.334,4.267
DDH-0019,118.1,119.1,0.0549,,0,77.1,0.203,4.434
DDH-0019,119.1,120.1,0.055,,,57.79,0.064,4.224
DDH-0019,120.1,121.1,0.3927,,0,77.05,0.118,4.012
DDH-0019,121.1,122.1,1.5716,,1.205,173.28,0.412,4.116
DDH-0019,122.1,123.1,1.7425,,6,500.78,0.65,3.911
DDH-0019,123.1,124.1,0.9458,,1.214,77.02,0.161,3.367
DDH-0019,124.1,125.1,0.0545,,0,19.24,0.052,2.773
DDH-0019,125.1,126.1,0.0394,,0,38.57,,3.416
DDH-0019,126.1,127.75,0.8465,,4.85,57.73,0.115,4.02
DDH-0019,127.75,128.15,,,2.432,38.55,0.059,3.877
DDH-0020,232.2,232.31,0.2446,0.729,9.617,77.04,0.175,3.102
DDH-0020,232.31,233.04,4.0071,2.896,96.22,385.05,5.421,4.22
DDH-0020,233.04,234.09,3.2054,1.443,82.093,963.08,7.479,4.453
DDH-0020,234.09,235,2.452,0.613,61.387,1539.78,6.146,4.233
DDH-0020,235,236,1.5819,1.328,56.515,1116.31,9.12,4.08
DDH-0020,236,237,2.2554,0.941,53.061,1021.35,6.315,4.231
DDH-0020,237,238,4.1086,0.988,,943.66,6.539,
DDH-0020,238,239,5.4298,0.517,19.236,346.69,2.548,4.399
DDH-0020,239,240,7.3455,0.585,47.1,327.55,4.965,4.103
DDH-0020,240,241,2.6315,0.629,54.242,365.92,5.211,4.361
DDH-0020,241,242.17,4.0955,0.473,44.838,732,4.968,4.411
DDH-0020,242.17,242.83,1.1075,3.281,219.382,3162.59,11.116,4.14
DDH-0020,242.83,243.25,0.8088,4.852,296.587,4507.06,18.995,3.807
DDH-0020,243.25,243.87,1.4517,4.686,351.245,3656.23,12.49,3.965
DDH-0020,243.87,244.77,3.9997,2.768,192.24,1387.9,15.76,3.834
DDH-0020,244.77,245.68,3.4089,1.695,172.508,2830.27,14.372,4.23
DDH-0020,245.68,246,6.1906,2.558,218.773,3927.28,12.901,4.217
DDH-0020,246,246.35,,3.392,275.222,3984.29,11.269,3.265
DDH-0020,246.35,246.6,7.4185,1.687,,1118.04,5.777,4.128
DDH-0020,246.6,247.56,5.3322,4.26,300.118,1907.19,12.773,4.107
DDH-0020,247.56,248.72,5.5088,,289.403,1655.54,10.491,4.045
DDH-0020,248.72,249.15,3.9988,4.242,271.923,1347.74,10.491,4.37
DDH-0020,249.15,249.9,4.8135,4.504,306.07,3928.61,10.499,4.321
DDH-0020,249.9,250.32,4.031,6.321,271.798,4002.56,8.016,4.619
DDH-0020,250.32,250.95,2.7045,8.267,361.855,6574.54,11.669,3.778
DDH-0020,250.95,251.69,5.3336,6.56,495.019,6723.24,13.137,4.684
DDH-0020,251.69,252.34,6.0156,8.897,,3987.49,14.934,4.561
DDH-0020,252.34,253.24,3.5994,6.863,537.34,8060.64,12.552,4.564
DDH-0020,253.24,253.88,8.337,,786.115,4143.2,10.071,4.714
DDH-0020,253.88,254.52,14.691,9.277,823.078,2425.95,8.014,4.8
DDH-0020,254.52,256,1.9036,0.218,10.887,77.02,0.055,4.111
DDH-0020,256,258,0.353,0.036,,38.57,0.031,3.839
DDH-0020,258,260,0.5275,,0,38.51,0.031,3.329
DDH-0020,260,261.31,0.0782,,0,38.53,0.022,3.323
DDH-0021,75.1,76,4.1942,1.7,81.897,905.75,3.858,4.433
DDH-0021,76,77,4.6325,2.011,81.599,789.75,3.259,4.529
DDH-0021,77,77.94,2.4861,3.991,100.09,1618.19,4.833,4.624
DDH-0021,77.94,79,0.3453,1.554,10.858,212.11,0.342,2.77
DDH-0021,79,80,2.1575,3.547,82.777,2486.61,2.798,4.393
DDH-0021,80,81,,3.612,92.551,1674.08,5.592,4.241
DDH-0021,81,82,,4.289,138.092,1733.07,7.925,4.482
DDH-0021,82,83,7.7268,3.698,,1290.52,4.258,4.573
DDH-0021,83,84,1.4742,3.619,192.024,5205.73,5.436,3.338
DDH-0021,84,85,1.5719,6.339,234.233,8240.9,6.061,4.353
DDH-0021,85,85.4,0.6994,3.612,117.019,6371.22,3.309,3.537
DDH-0021,85.4,86,0.8268,3.603,144.156,3117.45,1.632,4.369
DDH-0021,86,87,0.8912,4.872,86.95,829.05,0.959,4.304
DDH-0021,87,88,0.4954,4.063,90.217,2292.01,1.825,4.624
DDH-0021,88,89,0.094,0.67,9.692,134.97,1.631,3.478
DDH-0021,89,90,0.4833,0.836,6.076,77.05,0.368,3.721
DDH-0021,90,91,1.0564,2.231,74.117,1635.95,2.562,4.07
DDH-0021,91,92,1.1122,,49.771,2082.84,3.259,4.307
DDH-0021,92,93,2.0688,1.178,53.595,4663.76,4.928,4.648
DDH-0021,93,94,1.5692,,14.546,384.83,0.213,4.35
DDH-0021,94,95,0.9625,0.219,7.248,57.79,0.009,4.349
DDH-0021,95,96,0.2651,0.097,7.317,38.54,0.03,4.201
DDH-0021,96,97,0.063,0,3.633,,0.009,3.909
DDH-0021,97,98,0.0078,0.121,3.602,19.27,0.034,
DDH-0021,98,99,0.0393,0.122,4.865,19.28,0.034,4.076
DDH-0021,99,100,0.0157,0.061,2.401,19.25,0.013,3.503
DDH-0021,100,101,0.0158,0.098,,19.25,0.009,3.587
DDH-0021,101,102,0.0157,0,2.431,19.27,0.008,3.623
DDH-0021,102,103,0.0236,0,2.411,19.27,0.008,3.623
DDH-0021,103,104,0.0312,0,1.2,19.27,0.009,3.403
DDH-0021,104,104.67,0.0235,0,1.205,19.26,0.004,3.563
DDH-0022,74.54,75.06,0.4925,0.483,18.216,577.51,0.065,3.542
DDH-0022,75.06,75.77,5.1499,3.659,214.999,1925.63,1.268,4.64
DDH-0022,75.77,76.32,3.9103,2.183,213.532,5303.37,6.276,4.648
DDH-0022,76.32,77,7.6598,1.804,192.071,790.05,1.155,4.763
DDH-0022,77,77.92,6.369,1.33,224.261,962.11,1.306,4.456
DDH-0022,77.92,79,4.652,2.765,223.968,1889.82,4.57,4.186
DDH-0022,79,80,,2.763,203.231,2292.13,6.759,4.133
DDH-0022,80,80.57,3.6484,2.052,141.357,481.24,9.553,4.191
DDH-0022,80.57,82,5.4984,1.012,67.768,250.1,1.526,4.251
DDH-0022,82,83,5.0305,0.937,53.566,192.61,1.641,4.33
DDH-0022,83,84,5.3895,0.86,2.429,192.75,1.195,4.312
DDH-0022,84,85.5,5.7609,0.999,15.786,308.57,1.714,
DDH-0022,85.5,87.06,4.0102,0,1.208,134.98,2.03,4.565
DDH-0022,87.06,88,5.8896,0.98,24.331,173.13,1.002,4.253
DDH-0022,88,89,5.8315,1.111,3.602,192.37,2.025,4.317
DDH-0022,89,90,4.9733,0.845,2.437,173.23,1.394,4.316
DDH-0022,90,91.8,1.924,0.012,1.204,77.08,0.263,4.711
DDH-0022,91.8,92.94,4.0749,0.303,45.04,134.77,1.183,4.156
DDH-0022,92.94,93.5,3.2133,0.242,1.205,115.62,0.504,4.472
DDH-0022,93.5,94.09,2.1606,0.545,16.904,96.36,,4.385
DDH-0022,94.09,95,3.1064,0.36,,134.8,1.004,4.41
DDH-0022,95,96,3.7959,0.024,1.205,,1.311,4.574
DDH-0022,96,97,5.0862,0.519,49.761,134.72,1.808,4.257
DDH-0022,97,98,3.1483,0.396,13.201,,1.074,4.587
DDH-0022,98,99,4.2287,,20.513,134.84,1.087,4.151
DDH-0022,99,100,4.7735,0.037,1.204,134.84,0.799,4.255
DDH-0022,100,101.43,2.5866,0.626,28.845,115.62,0.525,4.498
DDH-0022,101.43,102.46,2.3319,0.158,0,96.29,0.352,4.681
DDH-0022,102.46,103.29,1.386,0.289,21.874,77.1,0.259,4.843
DDH-0022,103.29,104.29,2.3063,0.421,18.226,77.02,0.273,4.302
DDH-0022,104.29,105,1.8782,0.219,35.095,77,0.243,
DDH-0022,105,106,2.9809,0.403,23.028,76.96,0.262,4.883
DDH-0022,106,107,2.5279,0.097,0,134.67,0.642,4.906
DDH-0022,107,107.79,3.5743,0.122,0,231.37,0.374,4.783
DDH-0022,107.79,109,4.4711,0.205,27.615,692.87,0.959,4.462
DDH-0022,109,109.97,2.831,0.349,31.595,115.52,0.849,4.691
DDH-0022,109.97,111,3.8006,0.181,27.764,96.41,2.01,4.524
DDH-0022,111,111.89,4.9513,0.338,36.073,115.54,2.911,4.366
DDH-0022,111.89,113,6.5831,0.06,28.058,115.58,0.396,4.296
DDH-0022,113,114,5.5452,0.097,32.752,115.67,0.66,4.379
DDH-0022,114,115,8.1906,0.181,26.458,115.63,0.374,4.072
DDH-0022,115,116,7.3969,0.061,19.225,115.43,0.4,4.46
DDH-0022,116,117,2.7476,0.097,24.351,250.43,0.744,4.491
DDH-0022,117,118,9.0965,0.496,70.57,,1.825,4.776
DDH-0022,118,119,5.0216,0.385,27.697,385.53,2.129,4.617
DDH-0022,119,120,5.4381,0.425,64.08,4956.01,3.113,4.313
DDH-0022,120,121,7.9418,0.292,28.052,,0.395,4.613
DDH-0022,121,122,5.5273,0.375,38.761,385.53,0.795,4.781
DDH-0022,122,123,7.649,0.462,44.844,269.54,0.823,4.621
DDH-0022,123,124.06,7.0746,0.316,42.218,231.13,0.896,4.268
DDH-0022,124.06,125,3.3061,0.037,12.138,96.23,0.332,4.027
DDH-0022,125,126,3.4857,0.061,15.825,,0.455,4.448
DDH-0022,126,126.84,3.0991,0,8.486,115.58,0.38,4.115
DDH-0022,126.84,127.1,9.5492,0.535,36.043,115.6,0.856,4.323
DDH-0022,127.1,128.1,,0.012,20.458,76.99,0.068,4.179
DDH-0022,128.1,128.67,5.1092,,9.714,57.78,0.099,4.638
DDH-0022,128.67,130,,0.301,2.407,77.08,0.03,4.069
DDH-0022,130,130.7,2.4118,0.181,3.614,77.13,0.026,4.504
DDH-0022,130.7,131.16,13.8826,0.304,15.615,57.8,,4.217
DDH-0022,131.16,131.4,4.3722,0.121,2.409,38.53,0.044,2.839
DDH-0022,131.4,132,2.3354,,7.288,76.96,0.026,
DDH-0022,132,133,2.3291,,14.459,96.32,,3.781
DDH-0022,133,134,0.9331,,9.746,77.05,0.022,4.421
DDH-0022,134,135,0.5267,,6.093,57.85,0.017,3.448
DDH-0022,135,136,0.6637,,7.273,76.97,0.017,4.989
DDH-0022,136,137,0.1405,,,77,0.034,4.28
DDH-0022,137,138,0.1414,,7.248,77.09,0.042,4.795
DDH-0022,138,139,,,8.439,57.77,0.094,4.622
DDH-0022,139,140,0.3598,,12.103,96.27,,4.102
DDH-0022,140,141,0.2129,,,77.08,0.051,4.611
DDH-0022,141,142,0.8195,,9.604,96.41,0.139,4.219
DDH-0022,142,143,0.0865,,4.801,76.97,0.009,3.816
DDH-0022,143,144,0.6706,,28.991,134.72,,4.234
DDH-0022,144,145,2.2545,,14.634,77.1,0.422,3.514
DDH-0022,145,145.75,3.5948,,12.166,77.12,0.065,3.971
DDH-0022,145.75,147,3.4666,,9.635,76.98,0.063,3.783
DDH-0022,147,148,2.4503,,0,77.01,0.055,3.288
DDH-0022,148,149,0.8611,,0,76.97,0.043,3.099
DDH-0022,149,150,0.3292,,0,77.14,0.017,4.06
DDH-0022,150,151,0.9268,,0,77.06,,3.567
DDH-0022,151,152,0.547,,0,77.01,0.034,3.768
DDH-0022,152,153,0.4714,,0,77.02,0.021,3.756
DDH-0022,153,154,0.3841,,0,77.12,0.022,3.366
DDH-0022,154,155,0.3359,,0,77.05,0.017,4.039
DDH-0022,155,156,0.6334,,0,,0.026,3.103
DDH-0022,156,157,0.9208,,0,77.13,0.026,3.36
DDH-0022,157,158,0.5318,,0,77.13,0.03,2.848
DDH-0022,158,159,0.8203,,0,77.03,0.047,3.207
DDH-0022,159,160,0.7545,,0,77.12,0.057,3.779
DDH-0022,160,161,0.189,,0,76.99,0.039,2.981
DDH-0022,161,162,2.284,,0,77.01,0.359,4.177
DDH-0022,162,163,1.7853,,0,77.09,,4.207
DDH-0022,163,164,2.9282,,0,77.08,0.435,2.966
DDH-0022,164,164.92,,,0,76.94,0.065,3.066
DDH-0023,0,19.5,0.0079,,0,19.24,0.004,
DDH-0023,88.17,88.35,0.1406,0.012,3.619,96.39,0.07,3.007
DDH-0023,88.35,88.9,3.8622,1.112,133.946,1539.26,5.001,4.186
DDH-0023,88.9,90,7.9742,5.642,383.772,596.54,3.86,4.856
DDH-0023,90,90.75,6.7737,3.51,505.304,366.16,1.51,5.082
DDH-0023,90.75,92,2.7679,3.045,225.572,500.69,5.083,4.92
DDH-0023,92,92.45,1.1553,4.562,37.298,578.25,7.918,4.599
DDH-0023,92.45,93.04,0.2364,6.123,58.21,192.47,4.927,4.516
DDH-0023,93.04,93.9,0.489,2.062,123.309,,8.61,4.354
DDH-0023,93.9,94.26,1.8111,4.218,93.546,289.2,8.247,4.237
DDH-0023,94.26,95.31,2.2998,2.914,77.687,231.26,11.972,4.097
DDH-0023,95.31,96.2,4.0465,3.038,78.574,231.3,9.429,4.161
DDH-0023,96.2,97.45,2.4593,1.215,95.472,192.51,10.532,4.145
DDH-0023,97.45,98,3.3701,2.667,84.011,231.08,7.734,4.244
DDH-0023,98,99,3.1528,1.455,75.497,211.71,,3.986
DDH-0023,99,99.78,2.2298,1.927,51.163,134.94,6.294,4.761
DDH-0023,99.78,100.06,1.1327,2.404,47.426,,12.693,4.062
DDH-0023,100.06,100.51,1.5112,2.55,20.608,134.94,9.268,4.426
DDH-0023,100.51,101.05,1.2285,2.069,14.5,96.41,14.851,4.173
DDH-0023,101.05,101.94,1.8998,2.529,18.001,115.66,9.486,4.049
