x,y,z,UG,PadID,Cost
111.31218,837.77768,973.1682699999999,0,1,0.0
545.79216,494.75547,391.50386000000003,1,2,0.0
654.31218,457.09767999999997,960.9282699999999,0,1,0.0
1005.6121800000001,513.21768,962.8682699999999,0,1,0.0
199.61218,825.21768,971.2882699999999,0,1,0.0
201.61218,517.21768,966.60827,0,1,0.0
203.61218,377.21768,962.96827,0,1,0.0
217.61218,1181.21768,972.7882699999999,0,1,0.0
219.61218,605.21768,968.9282699999999,0,1,0.0
215.61218,683.21768,969.6882699999999,0,1,0.0
209.61218,917.2176800000001,971.84827,0,1,0.0
215.61218,1003.2176800000001,970.96827,0,1,0.0
229.61218,1075.21768,971.2882699999999,0,1,0.0
107.61218000000001,1127.21768,973.84827,0,1,0.0
141.61218,1045.21768,973.8082699999999,0,1,0.0
111.61218000000001,957.2176800000001,972.96827,0,1,0.0
97.61218000000001,721.21768,971.1482699999999,0,1,0.0
1.61218,877.2176800000001,974.7482699999999,0,1,0.0
7.61218,963.2176800000001,975.46827,0,1,0.0
13.612179999999999,1055.21768,976.32827,0,1,0.0
35.61218,1205.21768,975.10827,0,1,0.0
595.61218,729.21768,964.1482699999999,0,1,0.0
591.61218,805.21768,965.1482699999999,0,1,0.0
613.61218,881.2176800000001,964.8882699999999,0,1,0.0
627.61218,967.2176800000001,965.5482699999999,0,1,0.0
409.61217999999997,1125.21768,969.5082699999999,0,1,0.0
795.61218,877.2176800000001,963.22827,0,1,0.0
403.17217999999997,565.65693,505.10124,1,2,0.0
402.83977999999996,664.0007,966.88444,0,1,0.0
404.14209,764.66,968.26365,0,1,0.0
1000.8905699999999,434.09860999999995,962.76795,0,1,0.0
1009.2521800000001,258.25768,966.32827,0,1,0.0
411.17978999999997,469.23784000000006,472.59382,1,2,0.0
604.14882,163.10263,964.1732699999999,0,1,0.0
406.16857000000005,366.87986,962.5755199999999,0,1,0.0
300.91015,566.63492,968.36094,0,1,0.0
301.41806,765.90968,970.65664,0,1,0.0
502.47742,362.68269,961.10996,0,1,0.0
501.93990999999994,127.28305,962.64541,0,1,0.0
705.45477,88.4689,972.24125,0,1,0.0
801.12065,267.01785,964.06078,0,1,0.0
314.29244,304.32874,974.21646,0,1,0.0
501.60121,610.5787799999999,513.70898,1,2,0.0
717.20564,336.81229,975.01465,0,1,0.0
902.1144,127.06262,968.76541,0,1,0.0
555.90075,316.1368,962.8683800000001,0,1,0.0
652.29817,377.40227000000004,962.051,0,1,0.0
853.14015,322.37037000000004,972.96153,0,1,0.0
703.6084900000001,594.37487,961.8481800000001,0,1,0.0
802.33707,540.49154,961.96689,0,1,0.0
865.74915,455.68687,962.14184,0,1,0.0
695.99485,266.90145,962.3624,0,1,0.0
