x,y,z,Au:shell,Cu:shell
20109.1663,18507.0569,288.7000,0,0
20093.7926,18490.8195,298.7000,0,0
20109.1663,18507.0569,298.7000,0,0
20062.1817,18489.9559,268.7000,0,0
20065.6019,18480.5589,278.7000,0,0
20052.7847,18486.5357,288.7000,0,0
20065.6019,18480.5589,288.7000,0,0
20052.7847,18486.5357,298.7000,0,0
20065.6019,18480.5589,298.7000,0,0
20074.9988,18483.9791,268.7000,0,1
20084.3957,18487.3993,268.7000,0,0
20093.7926,18490.8195,268.7000,0,0
20074.9988,18483.9791,278.7000,0,0
20078.4190,18474.5822,278.7000,0,0
20084.3957,18487.3993,278.7000,0,0
20087.8159,18478.0024,278.7000,0,0
20093.7926,18490.8195,278.7000,0,0
20074.9988,18483.9791,288.7000,0,0
20078.4190,18474.5822,288.7000,0,0
20087.8159,18478.0024,288.7000,0,0
20097.2128,18481.4226,288.7000,0,0
20103.1896,18494.2397,288.7000,0,0
20074.9988,18483.9791,298.7000,0,0
20078.4190,18474.5822,298.7000,0,0
20084.3957,18487.3993,298.7000,0,0
20087.8159,18478.0024,298.7000,0,0
20103.1896,18494.2397,298.7000,0,0
20041.6605,18546.3374,278.7000,0,0
20032.2635,18542.9172,288.7000,0,0
20041.6605,18546.3374,298.7000,0,0
20035.6837,18533.5203,268.7000,0,0
20039.1039,18524.1234,268.7000,0,0
20042.5241,18514.7264,268.7000,0,0
20045.9443,18505.3295,268.7000,0,0
20029.7070,18520.7032,278.7000,0,0
20033.1272,18511.3062,278.7000,0,0
20036.5474,18501.9093,278.7000,0,0
20026.2868,18530.1001,288.7000,0,0
20029.7070,18520.7032,288.7000,0,0
20033.1272,18511.3062,288.7000,0,0
20036.5474,18501.9093,288.7000,0,0
20026.2868,18530.1001,298.7000,0,0
20029.7070,18520.7032,298.7000,0,0
20033.1272,18511.3062,298.7000,0,0
20036.5474,18501.9093,298.7000,0,0
20099.7694,18503.6367,268.7000,0,0
20103.1896,18494.2397,278.7000,0,0
20033.1272,18511.3062,268.7000,0,0
20036.5474,18501.9093,268.7000,0,0
20049.3645,18495.9326,268.7000,0,0
20039.9676,18492.5124,278.7000,0,0
20023.7303,18507.8860,288.7000,0,0
20039.9676,18492.5124,288.7000,0,0
20039.9676,18492.5124,298.7000,0,0
20097.2128,18481.4226,268.7000,0,1
20103.1896,18494.2397,268.7000,0,0
20097.2128,18481.4226,278.7000,0,0
20106.6098,18484.8428,278.7000,0,0
20109.1663,18507.0569,278.7000,0,0
20112.5865,18497.6599,278.7000,0,0
20106.6098,18484.8428,288.7000,0,0
20112.5865,18497.6599,288.7000,0,0
20097.2128,18481.4226,298.7000,0,0
20106.6098,18484.8428,298.7000,0,0
20112.5865,18497.6599,298.7000,0,0
20039.9676,18492.5124,268.7000,0,0
20023.7303,18507.8860,278.7000,0,0
20027.1505,18498.4891,278.7000,0,0
20052.7847,18486.5357,278.7000,0,0
20020.3101,18517.2830,288.7000,0,0
20027.1505,18498.4891,288.7000,0,0
20030.5707,18489.0922,288.7000,0,0
20043.3878,18483.1155,288.7000,0,0
20023.7303,18507.8860,298.7000,0,0
20027.1505,18498.4891,298.7000,0,0
20052.7847,18486.5357,268.7000,0,0
20030.5707,18489.0922,278.7000,0,0
20043.3878,18483.1155,278.7000,0,0
20033.9909,18479.6953,288.7000,0,0
20030.5707,18489.0922,298.7000,0,0
20043.3878,18483.1155,298.7000,0,0
20106.6098,18484.8428,268.7000,0,0
20105.7461,18516.4538,268.7000,0,0
20109.1663,18507.0569,268.7000,0,0
20112.5865,18497.6599,268.7000,0,0
20116.0067,18488.2630,278.7000,0,0
20118.5632,18510.4771,278.7000,0,0
20121.9834,18501.0802,278.7000,0,0
20116.0067,18488.2630,288.7000,0,0
20115.1430,18519.8740,288.7000,0,0
20118.5632,18510.4771,288.7000,0,0
20121.9834,18501.0802,288.7000,0,0
20116.0067,18488.2630,298.7000,0,0
20118.5632,18510.4771,298.7000,0,0
20121.9834,18501.0802,298.7000,0,0
20032.2635,18542.9172,298.7000,0,0
20023.7303,18507.8860,268.7000,0,0
20027.1505,18498.4891,268.7000,0,0
20030.5707,18489.0922,268.7000,0,0
20029.7070,18520.7032,268.7000,0,0
20014.3334,18504.4658,278.7000,0,0
20017.7536,18495.0689,278.7000,0,0
20020.3101,18517.2830,278.7000,0,0
20033.9909,18479.6953,278.7000,0,0
20026.2868,18530.1001,278.7000,0,0
20014.3334,18504.4658,288.7000,0,0
20017.7536,18495.0689,288.7000,0,0
20021.1738,18485.6720,288.7000,0,0
20014.3334,18504.4658,298.7000,0,0
20017.7536,18495.0689,298.7000,0,0
20020.3101,18517.2830,298.7000,0,0
20033.9909,18479.6953,298.7000,0,0
20116.0067,18488.2630,268.7000,0,0
20115.1430,18519.8740,268.7000,0,0
20118.5632,18510.4771,268.7000,0,0
20121.9834,18501.0802,268.7000,0,0
20111.7228,18529.2709,278.7000,0,0
20115.1430,18519.8740,278.7000,0,0
20125.4036,18491.6832,278.7000,0,0
20127.9602,18513.8973,278.7000,0,0
20111.7228,18529.2709,288.7000,0,0
20125.4036,18491.6832,288.7000,0,0
20124.5399,18523.2942,288.7000,0,0
20127.9602,18513.8973,288.7000,0,0
20131.3804,18504.5004,288.7000,0,0
20111.7228,18529.2709,298.7000,0,0
20115.1430,18519.8740,298.7000,0,0
20125.4036,18491.6832,298.7000,0,0
20127.9602,18513.8973,298.7000,0,0
20016.8899,18526.6799,288.7000,0,0
20102.3259,18525.8507,268.7000,0,0
20056.2049,18477.1387,288.7000,0,0
20056.2049,18477.1387,298.7000,0,0
20032.2635,18542.9172,278.7000,0,0
20022.8666,18539.4970,288.7000,0,0
20041.6605,18546.3374,268.7000,0,0
20038.2403,18555.7344,288.7000,0,0
20051.0574,18549.7576,268.7000,0,0
20022.8666,18539.4970,278.7000,0,0
20022.8666,18539.4970,298.7000,0,0
20020.3101,18517.2830,268.7000,0,0
20026.2868,18530.1001,268.7000,0,0
20016.8899,18526.6799,278.7000,0,0
20010.9132,18513.8628,288.7000,0,0
20016.8899,18526.6799,298.7000,0,0
20056.2049,18477.1387,278.7000,0,0
20032.2635,18542.9172,268.7000,0,0
20013.4697,18536.0768,288.7000,0,0
20028.8433,18552.3142,288.7000,0,0
20028.8433,18552.3142,278.7000,0,0
20038.2403,18555.7344,278.7000,0,0
20028.8433,18552.3142,298.7000,0,0
20038.2403,18555.7344,298.7000,0,0
20047.6372,18559.1546,288.7000,0,0
20125.4036,18491.6832,268.7000,0,0
20131.3804,18504.5004,278.7000,0,0
20134.8006,18495.1034,288.7000,0,0
20131.3804,18504.5004,298.7000,0,0
20124.5399,18523.2942,278.7000,0,0
20134.8006,18495.1034,278.7000,0,0
20124.5399,18523.2942,298.7000,0,0
20134.8006,18495.1034,298.7000,0,0
20004.0728,18532.6566,278.7000,0,0
20013.4697,18536.0768,278.7000,0,0
20004.0728,18532.6566,288.7000,0,0
20004.0728,18532.6566,298.7000,0,0
20013.4697,18536.0768,298.7000,0,0
20007.4930,18523.2597,268.7000,0,0
20010.9132,18513.8628,268.7000,0,0
20014.3334,18504.4658,268.7000,0,0
20017.7536,18495.0689,268.7000,0,0
20016.8899,18526.6799,268.7000,0,0
19998.0960,18519.8395,278.7000,0,0
20001.5162,18510.4426,278.7000,0,0
20004.9364,18501.0456,278.7000,0,0
20007.4930,18523.2597,278.7000,0,0
20010.9132,18513.8628,278.7000,0,0
19998.0960,18519.8395,288.7000,0,0
20001.5162,18510.4426,288.7000,0,0
20004.9364,18501.0456,288.7000,0,0
20008.3566,18491.6487,288.7000,0,0
20007.4930,18523.2597,288.7000,0,0
19998.0960,18519.8395,298.7000,0,0
20001.5162,18510.4426,298.7000,0,0
20004.9364,18501.0456,298.7000,0,0
20007.4930,18523.2597,298.7000,0,0
20010.9132,18513.8628,298.7000,0,0
20001.5162,18510.4426,268.7000,0,0
20004.9364,18501.0456,268.7000,0,0
20008.3566,18491.6487,278.7000,0,0
20021.1738,18485.6720,278.7000,0,0
20011.7768,18482.2518,288.7000,0,0
20008.3566,18491.6487,298.7000,0,0
20021.1738,18485.6720,298.7000,0,0
20022.8666,18539.4970,268.7000,0,0
20019.4464,18548.8939,278.7000,0,0
20019.4464,18548.8939,288.7000,0,0
20019.4464,18548.8939,298.7000,0,0
19805.8046,18726.5374,248.7000,0,0
19809.2248,18717.1404,248.7000,0,0
19812.6450,18707.7435,248.7000,0,0
19815.2015,18729.9576,248.7000,0,0
19818.6217,18720.5606,248.7000,0,0
19822.0419,18711.1637,248.7000,0,0
19825.4621,18701.7668,248.7000,0,0
19824.5985,18733.3778,248.7000,0,0
19828.0187,18723.9808,248.7000,0,0
19831.4389,18714.5839,248.7000,0,0
19796.4077,18723.1172,258.7000,0,0
19799.8279,18713.7202,258.7000,0,0
19803.2481,18704.3233,258.7000,0,0
19806.6683,18694.9264,258.7000,0,0
19802.3844,18735.9343,258.7000,0,0
19805.8046,18726.5374,258.7000,0,0
19809.2248,18717.1404,258.7000,0,0
19812.6450,18707.7435,258.7000,0,0
19816.0652,18698.3466,258.7000,0,0
19811.7813,18739.3545,258.7000,0,0
19815.2015,18729.9576,258.7000,0,0
19818.6217,18720.5606,258.7000,0,0
19822.0419,18711.1637,258.7000,0,0
19825.4621,18701.7668,258.7000,0,0
19821.1783,18742.7747,258.7000,0,0
19824.5985,18733.3778,258.7000,0,0
19828.0187,18723.9808,258.7000,0,0
19831.4389,18714.5839,258.7000,0,0
19834.8591,18705.1870,258.7000,0,0
19833.9954,18736.7980,258.7000,0,0
19837.4156,18727.4010,258.7000,0,0
19840.8358,18718.0041,258.7000,0,0
19844.2560,18708.6072,258.7000,0,0
