bhid,x,y,z,Au
218462.0,19927.42128,18961.04254,0.0,0.65
218385.0,20160.16244,18589.68061,0.0,0.05
218973.0,19866.59341,18887.3173,0.0,0.09
218390.0,19868.3333,18878.7263,0.0,0.11
218724.0,19876.59641,18881.27079,0.0,0.07
218507.0,20102.05668,18618.60107,0.0,1.69
219166.0,20046.9349,18633.56914,0.0,0.06
218909.0,20106.18592,18637.34467,0.0,0.62
218799.0,19947.95219,18691.62752,0.0,0.13
218793.0,19918.09993,18723.59489,0.0,0.51
219129.0,20177.24944,18613.97145,0.0,0.03
219031.0,19859.66872,18898.62721,0.0,0.16
219042.0,19872.94106,18897.40071,0.0,0.18
218789.0,19999.54477,18892.99401,0.0,0.41
218703.0,19965.66022,18850.14507,0.0,0.18
218728.0,19995.11757,18698.09087,0.0,0.03
218787.0,20044.50867,18963.40418,0.0,0.2
218869.0,20140.33796,18688.41237,0.0,0.17
218660.0,20142.58201,18680.49634,0.0,0.09
218646.0,20149.26869,18690.55247,0.0,0.5
218704.0,20151.30084,18681.2868,0.0,0.1
218710.0,20097.896,18665.83531,0.0,0.62
218997.0,20103.27884,18654.62287,0.0,0.25
218641.0,20129.87929,18659.96585,0.0,0.1
218692.0,20131.32345,18651.93292,0.0,0.04
218642.0,20084.58905,18636.67216,0.0,0.83
218699.0,20141.43068,18667.04487,0.0,0.1
218857.0,20146.93411,18698.25323,0.0,0.25
218696.0,20157.12274,18691.75491,0.0,0.23
218731.0,20076.36604,18634.83879,0.0,0.29
218983.0,20082.74236,18623.15561,0.0,0.4
219002.0,20086.08465,18627.77435,0.0,0.1
218953.0,20050.445880000007,18995.34452,0.0,0.13
218648.0,20058.52216,18996.68967,0.0,0.28
218782.0,20063.71355,18993.44362,0.0,0.28
218649.0,20091.12123,18647.30276,0.0,2.39
218921.0,20092.09327,18638.97839,0.0,0.92
218877.0,20120.73245,18658.11883,0.0,0.08
218783.0,19979.94942,18862.75338,0.0,0.26
218653.0,20045.71775,18976.26005,0.0,0.29
218730.0,20083.10526,18645.21776,0.0,0.49
218735.0,20069.62242,18625.17569,0.0,0.39
218720.0,20123.82143,18706.83615,0.0,0.59
219017.0,20130.83618,18695.61109,0.0,0.09
218674.0,20119.41697,18688.58993,0.0,0.05
218667.0,20052.41634,18986.4274,0.0,0.29
218879.0,20134.0617,18678.99623,0.0,0.6
218717.0,20104.23633,18676.0185,0.0,0.06
218663.0,20106.20725,18668.32516,0.0,0.03
218682.0,20112.79261,18678.14917,0.0,0.03
219034.0,20121.07631,18680.00305,0.0,0.12
219044.0,20114.26468,18669.32586,0.0,0.18
218676.0,20017.22751,18655.66286,0.0,0.07
218740.0,20018.548280000006,18647.23369,0.0,0.55
218690.0,20131.89698,18707.75392,0.0,0.19
218711.0,20114.59181,18639.037,0.0,0.2
218679.0,20123.42113,18641.5749,0.0,0.14
218709.0,20130.43159,18716.51353,0.0,0.02
219099.0,20140.44567,18709.68744,0.0,0.02
218685.0,20045.14788,18920.38916,0.0,0.25
218791.0,20054.23879,18978.18752,0.0,0.52
218758.0,20051.40505,18696.07779,0.0,0.58
218689.0,20049.37482,18704.14192,0.0,0.39
218691.0,20138.40509,18717.86517,0.0,0.1
218748.0,20136.03685,18648.25658,0.0,0.06
218752.0,20143.00197,18658.72837,0.0,0.09
218750.0,20149.44015,18669.02707,0.0,0.07
219193.0,20162.1133,18688.56635,0.0,0.15
219180.0,19920.24659,18715.69378,0.0,0.15
