dh,from,to,Au,Cu,Au:shell,Cu:shell
11,150.0,160.0,0.8971300000000001,352.0001,0,1
11,160.0,170.0,0.81913,107.0001,0,1
12,0.0,10.0,0.09113,46.0001,0,0
12,10.0,20.0,0.10101,53.0001,0,0
12,20.0,30.0,0.078,51.0,0,0
12,30.0,40.0,0.611,91.0,0,0
12,40.0,50.0,0.8971300000000001,70.0,0,0
12,50.0,60.0,1.651,97.0,1,0
12,60.0,70.0,4.91413,109.0001,1,0
12,70.0,80.0,2.7561299999999997,133.0001,1,0
12,80.0,90.0,0.8840000000000001,53.0,1,0
12,90.0,100.0,0.195,22.0,1,0
12,100.0,110.0,0.143,23.0001,0,0
12,110.0,120.0,1.17013,58.0,0,0
12,120.0,130.0,1.534,72.0001,0,0
12,130.0,140.0,0.59566,49.0001,0,0
13,0.0,10.0,0.02613,66.0,0,0
13,10.0,20.0,0.013,86.0,0,0
13,20.0,30.0,0.078,98.0001,0,0
13,30.0,40.0,0.078,98.0001,0,0
13,40.0,50.0,0.039,66.0,0,0
13,50.0,60.0,0.13,102.0,0,0
13,60.0,70.0,0.104,95.0001,0,0
13,70.0,80.0,0.11713,106.0001,0,0
13,80.0,90.0,0.11713,106.0001,0,0
13,90.0,100.0,0.6890000000000001,68.0,0,0
13,100.0,110.0,0.286,46.0001,0,0
14,0.0,10.0,0.026,22.0001,0,0
14,10.0,20.0,0.039,34.0001,0,0
14,20.0,30.0,0.02613,41.0001,0,0
14,30.0,40.0,0.02613,42.0,0,0
14,40.0,50.0,0.208,84.0001,0,0
14,50.0,60.0,0.169,41.0001,0,0
14,60.0,70.0,0.02613,15.0,0,0
14,70.0,80.0,0.13013,34.0001,0,0
14,80.0,90.0,,,-2147483648,-2147483648
14,90.0,100.0,,,-2147483648,-2147483648
14,100.0,110.0,,,-2147483648,-2147483648
14,110.0,120.0,0.247,32.0001,0,0
14,120.0,130.0,0.22113,36.0001,0,0
15,0.0,10.0,0.06513,29.0001,0,0
15,10.0,20.0,0.039,31.0,0,0
15,20.0,30.0,0.10413,67.0001,0,0
15,30.0,40.0,0.052,47.0,0,0
15,40.0,50.0,0.02613,51.0001,0,0
15,50.0,60.0,0.11713,94.0001,0,0
15,60.0,70.0,0.19513,109.0,0,0
16,0.0,10.0,2.873,386.0001,1,1
16,10.0,20.0,1.235,151.0,1,1
16,20.0,30.0,0.29913,44.0001,1,1
16,30.0,40.0,0.41613,91.0001,0,1
16,40.0,50.0,0.19513,96.0,0,0
16,50.0,60.0,0.31213,49.0,0,0
16,60.0,70.0,0.32513,123.0,0,0
16,70.0,80.0,0.32513,123.0,0,0
16,80.0,90.0,0.156,145.0001,0,0
16,90.0,100.0,0.1169999999999999,79.0001,0,0
16,100.0,110.0,0.36413,220.9568,0,0
16,110.0,120.0,0.16913,102.0001,0,0
17,0.0,10.0,2.873,386.0001,1,1
17,10.0,20.0,2.26213,296.0001,1,1
17,20.0,30.0,1.00113,253.0,1,1
17,30.0,40.0,6.148090000000001,314.0001,1,1
17,40.0,50.0,2.95503,368.5052,1,1
17,50.0,60.0,1.02713,232.0001,1,1
17,60.0,70.0,0.19513,108.0,0,1
17,70.0,80.0,0.286,88.0001,0,1
17,80.0,90.0,0.286,88.0001,0,1
17,90.0,100.0,0.7020000000000001,131.0001,0,1
17,100.0,110.0,0.5850000000000001,156.0001,0,1
18,0.0,10.0,2.873,386.0001,1,1
18,10.0,20.0,1.59913,176.0001,1,1
18,20.0,30.0,1.59913,176.0001,1,1
18,30.0,40.0,0.97513,212.0,1,1
18,40.0,50.0,14.7602,469.2739,1,1
18,50.0,60.0,5.460000000000001,465.98,1,1
18,60.0,70.0,1.222,235.0001,1,1
18,70.0,80.0,0.78,316.0001,0,1
18,80.0,90.0,0.50713,204.7711,0,1
18,90.0,100.0,0.93613,153.0001,0,1
18,100.0,110.0,0.66313,209.0,0,1
18,110.0,120.0,0.37713,299.0001,0,1
18,120.0,130.0,0.48113,262.0001,0,1
19,0.0,10.0,0.065,32.0001,0,0
19,10.0,20.0,0.091,36.0001,0,0
19,20.0,30.0,0.22113,76.0001,0,0
19,30.0,40.0,0.28613,71.0001,0,0
19,40.0,50.0,0.44213,59.0001,0,0
19,50.0,60.0,0.2339999999999999,44.0,0,0
19,60.0,70.0,0.52,66.0,0,0
19,70.0,80.0,0.55913,45.0,0,0
19,80.0,90.0,0.8840000000000001,151.0,0,0
20,0.0,10.0,1.35213,166.0001,1,1
20,10.0,20.0,3.56213,326.3424,1,1
20,20.0,30.0,1.7421300000000002,190.0001,1,1
20,30.0,40.0,1.7421300000000002,190.0001,1,1
20,40.0,50.0,0.208,34.0001,0,1
20,50.0,60.0,0.24713,101.0001,0,1
20,60.0,70.0,0.19513,125.0,0,0
20,70.0,80.0,0.312,86.0001,0,0
20,80.0,90.0,0.98813,201.0,0,0
20,90.0,100.0,0.507,161.0,0,0
21,0.0,10.0,0.07813,40.0,0,0
21,10.0,20.0,0.10413,45.0001,0,0
21,20.0,30.0,0.208,64.0,0,0
21,30.0,40.0,0.169,66.0,0,0
21,40.0,50.0,0.338,52.0001,0,0
21,50.0,60.0,0.754,34.0701,0,0
21,60.0,70.0,0.208,51.0,0,0
21,70.0,80.0,1.82013,125.0,1,0
21,80.0,90.0,1.56013,85.0,1,0
21,90.0,100.0,0.92313,73.0001,1,0
21,100.0,110.0,0.8711300000000001,87.0,1,0
21,110.0,120.0,1.144,135.0,1,1
21,120.0,130.0,1.027,135.0001,1,1
21,130.0,140.0,0.8710000000000001,87.0,1,1
22,0.0,10.0,0.052,25.0,0,0
22,10.0,20.0,0.013,26.0001,0,0
22,20.0,30.0,0.104,29.0001,0,0
22,30.0,40.0,0.14313,33.0001,0,0
22,40.0,50.0,0.14313,33.0001,0,0
22,50.0,60.0,0.8580000000000001,73.0001,0,0
22,60.0,70.0,0.44213,34.0,1,0
22,70.0,80.0,0.195,31.0,0,0
22,80.0,90.0,0.53313,69.0,0,0
22,90.0,100.0,0.28613,36.0,0,0
22,100.0,110.0,0.55913,58.0001,0,0
22,110.0,120.0,0.4679999999999999,68.0,0,0
22,120.0,130.0,0.50713,59.0001,0,0
22,130.0,140.0,0.312,87.0001,0,1
22,140.0,150.0,0.507,171.0,0,1
22,150.0,160.0,0.221,87.0,0,1
23,0.0,10.0,1.248,157.0,0,0
23,10.0,20.0,0.23413,65.0,0,0
23,20.0,30.0,0.338,52.0001,0,0
23,30.0,40.0,0.48113,46.0,0,0
23,40.0,50.0,0.975,77.0001,0,0
23,50.0,60.0,1.23513,90.0,1,0
23,60.0,70.0,1.3650000000000002,180.7645,1,0
23,70.0,80.0,1.56013,167.0,1,0
23,80.0,90.0,0.611,60.0001,1,0
23,90.0,100.0,0.28613,3.7024,0,0
23,100.0,110.0,0.23413,33.0,0,0
24,0.0,10.0,0.93613,307.0001,0,1
24,10.0,20.0,0.533,75.0001,1,0
24,20.0,30.0,0.299,75.0,0,0
24,30.0,40.0,0.507,115.0001,1,0
24,40.0,50.0,0.52,133.0,0,0
25,0.0,10.0,0.78,135.0,0,0
25,10.0,20.0,0.35113,102.0001,0,0
25,20.0,30.0,1.27413,99.0001,0,0
25,30.0,40.0,0.76713,90.0001,1,0
25,40.0,50.0,1.872,235.0001,1,0
25,50.0,60.0,0.24713,60.0001,0,0
25,60.0,70.0,2.574,196.0001,0,0
26,0.0,10.0,0.104,31.0001,0,0
26,10.0,20.0,0.078,31.0001,0,0
26,20.0,30.0,0.039,33.0,0,0
26,30.0,40.0,0.03913,31.0001,0,0
26,40.0,50.0,0.078,48.0001,0,0
26,50.0,60.0,0.403,47.0,0,0
26,60.0,70.0,0.24713,74.0,0,0
26,70.0,80.0,0.33813,53.0001,0,0
26,80.0,90.0,0.50713,42.0001,0,0
26,90.0,100.0,1.586,147.0,1,0
26,100.0,110.0,1.586,147.0,1,0
26,110.0,120.0,0.8450000000000001,47.0001,1,0
26,120.0,130.0,0.39,36.0001,0,0
26,130.0,140.0,0.143,2.9324,0,0
26,140.0,150.0,0.2339999999999999,34.0001,0,0
27,0.0,10.0,0.273,78.0,0,0
27,10.0,20.0,0.247,82.0,0,0
27,20.0,30.0,0.22113,47.0001,0,0
27,30.0,40.0,0.15613,104.0001,0,0
27,40.0,50.0,0.13,93.0001,0,0
27,50.0,60.0,0.533,170.0001,0,0
27,60.0,70.0,0.533,170.0001,0,0
28,0.0,10.0,0.273,78.0,0,0
28,10.0,20.0,0.247,82.0,0,0
28,20.0,30.0,0.11713,95.0,0,0
28,30.0,40.0,0.1169999999999999,33.0001,0,0
28,40.0,50.0,0.10413,72.0001,0,0
28,50.0,60.0,0.32513,127.0001,0,1
28,60.0,70.0,0.07813,74.0001,0,1
29,0.0,10.0,0.065,20.0001,0,0
29,10.0,20.0,0.13013,78.0001,0,0
29,20.0,30.0,0.14313,40.0001,0,0
29,30.0,40.0,0.039,30.0001,0,0
29,40.0,50.0,0.065,22.0,0,0
29,50.0,60.0,0.06513,25.0001,0,0
29,60.0,70.0,0.273,36.0,0,0
29,70.0,80.0,10.0542,277.1464,1,1
29,80.0,90.0,0.50713,68.0,1,1
29,90.0,100.0,1.28713,96.0001,1,1
29,100.0,110.0,1.105,79.0001,1,1
29,110.0,120.0,1.7160000000000002,112.0,1,1
29,120.0,130.0,0.8710000000000001,123.0,1,0
29,130.0,140.0,0.8710000000000001,123.0,1,0
29,140.0,150.0,0.507,52.0,0,0
30,0.0,10.0,1.976,117.0,0,0
30,10.0,20.0,0.75413,120.0,1,0
30,20.0,30.0,1.3910000000000002,129.0001,1,1
30,30.0,40.0,0.59813,127.0,1,1
30,40.0,50.0,0.8580000000000001,153.0,1,1
30,50.0,60.0,2.262,182.0,1,1
30,60.0,70.0,1.651,275.0001,1,1
31,0.0,10.0,,,-2147483648,-2147483648
31,10.0,20.0,1.781,115.0,1,1
31,20.0,30.0,0.8971300000000001,40.0,1,1
31,30.0,40.0,0.377,40.0,1,1
31,40.0,50.0,0.8320000000000001,56.0001,1,0
31,50.0,60.0,0.7280000000000001,42.0001,1,0
31,60.0,70.0,1.209,53.0,1,0
31,70.0,80.0,0.59813,73.0,1,0
32,0.0,10.0,3.53613,77.0,1,0
32,10.0,20.0,0.8387600000000001,103.0001,1,0
32,20.0,30.0,0.8840000000000001,110.0001,0,0
32,30.0,40.0,0.416,74.0001,0,0
32,40.0,50.0,0.793,104.0,0,0
32,50.0,60.0,0.078,32.0001,0,0
32,60.0,70.0,0.065,49.0001,0,0
32,70.0,80.0,0.5980000000000001,87.0001,0,0
33,0.0,10.0,0.039,37.0,0,0
33,10.0,20.0,0.182,26.0001,0,0
33,20.0,30.0,0.0521299999999999,49.0001,0,0
33,30.0,40.0,0.13013,27.0001,0,0
33,40.0,50.0,0.065,30.0001,0,0
33,50.0,60.0,0.026,31.0,0,0
33,60.0,70.0,0.20813,65.0,0,0
33,70.0,80.0,0.10413,67.0,0,0
33,80.0,90.0,0.14313,59.0001,0,0
33,90.0,100.0,0.09113,89.0,0,0
33,100.0,110.0,0.091,37.0001,0,0
33,110.0,120.0,0.091,37.0001,0,0
33,120.0,130.0,0.169,47.0001,0,0
33,130.0,140.0,0.273,43.0,1,0
33,140.0,150.0,1.807,143.0,1,1
33,150.0,160.0,0.91013,185.0,1,1
33,160.0,170.0,0.6241300000000001,174.0,1,1
34,0.0,10.0,0.078,60.0001,0,0
34,10.0,20.0,0.078,40.0001,0,0
34,20.0,30.0,0.13013,55.0,0,0
34,30.0,40.0,0.13,29.0001,0,0
34,40.0,50.0,0.11713,26.0,0,0
34,50.0,60.0,0.10413,27.0001,0,0
34,60.0,70.0,0.1169999999999999,43.0,0,0
34,70.0,80.0,0.1169999999999999,43.0,0,0
34,80.0,90.0,0.221,56.0001,0,0
34,90.0,100.0,0.5980000000000001,70.0001,0,0
34,100.0,110.0,1.066,120.0001,1,1
34,110.0,120.0,0.806,129.0,1,1
34,120.0,130.0,1.7420000000000002,321.1823,1,1
34,130.0,140.0,0.14313,49.0001,1,1
35,0.0,10.0,0.8580000000000001,214.0001,0,1
35,10.0,20.0,0.35113,73.0001,1,1
35,20.0,30.0,0.75699,60.0,1,1
35,30.0,40.0,1.3391300000000002,106.0,1,1
35,40.0,50.0,1.69013,144.0001,1,1
35,50.0,60.0,1.05313,99.0001,1,1
35,60.0,70.0,0.63713,165.0,1,1
35,70.0,80.0,1.183,255.0001,0,1
35,80.0,90.0,0.429,161.0001,0,1
35,90.0,100.0,0.65013,124.0,0,1
35,100.0,110.0,0.40313,53.0,0,0
36,0.0,10.0,0.026,93.0,0,0
36,10.0,20.0,0.078,120.0001,0,0
36,20.0,30.0,0.195,94.0,0,0
36,30.0,40.0,0.273,131.0001,0,0
37,0.0,10.0,1.3911300000000002,126.0,1,0
37,10.0,20.0,0.65,42.0001,1,0
37,20.0,30.0,0.29913,33.0,0,0
37,30.0,40.0,0.18213,43.0,0,0
37,40.0,50.0,0.507,53.0,0,0
37,50.0,60.0,0.195,53.0001,0,0
37,60.0,70.0,0.143,18.0,0,0
37,70.0,80.0,0.741,138.0001,0,0
37,80.0,90.0,1.4171300000000002,139.0,0,0
37,90.0,100.0,2.30113,235.0,0,0
37,100.0,110.0,2.30113,235.0,0,0
37,110.0,120.0,0.58513,122.0001,0,0
37,120.0,130.0,0.741,177.0,0,1
37,130.0,140.0,1.4951299999999998,193.0001,0,1
37,140.0,150.0,4.77971,167.0001,0,1
38,0.0,10.0,0.8841300000000001,96.0001,0,0
38,10.0,20.0,0.42913,51.0,0,0
38,20.0,30.0,0.19513,49.0,0,0
38,30.0,40.0,0.8580000000000001,73.0001,0,0
38,40.0,50.0,1.287,64.0,1,0
38,50.0,60.0,0.429,30.0,1,0
38,60.0,70.0,3.34113,134.0,1,0
38,70.0,80.0,0.23413,27.0001,0,0
38,80.0,90.0,0.611,94.0001,1,0
38,90.0,100.0,0.676,78.0,0,0
38,100.0,110.0,0.429,78.0,0,0
38,110.0,120.0,0.63713,99.0001,0,0
38,120.0,130.0,0.7150000000000001,59.0001,1,1
38,130.0,140.0,0.15613,43.0001,1,1
39,0.0,10.0,0.8841300000000001,96.0001,0,0
39,10.0,20.0,0.42913,51.0,0,0
39,20.0,30.0,0.19513,49.0,0,0
39,30.0,40.0,1.6868800000000002,96.0,0,0
39,40.0,50.0,0.5850000000000001,81.0,0,0
39,50.0,60.0,1.7681300000000002,91.0001,1,0
39,60.0,70.0,0.94913,93.0001,1,0
39,70.0,80.0,0.48113,62.0745,0,0
39,80.0,90.0,0.78,84.0001,0,0
39,90.0,100.0,0.78,84.0001,0,0
39,100.0,110.0,0.8711300000000001,69.0001,0,0
39,110.0,120.0,0.63713,57.0,1,0
39,120.0,130.0,0.65,145.0001,0,0
39,130.0,140.0,0.5980000000000001,156.0,0,1
39,140.0,150.0,0.364,17.0,0,1
39,150.0,160.0,0.32513,118.0,0,1
40,0.0,10.0,0.8841300000000001,96.0001,0,0
40,10.0,20.0,1.105,105.0001,0,0
40,20.0,30.0,1.06613,45.0,0,0
40,30.0,40.0,0.50713,32.0001,0,0
40,40.0,50.0,0.07813,34.0001,0,0
40,50.0,60.0,0.07813,46.0001,0,0
40,60.0,70.0,0.10413,37.0001,0,0
40,70.0,80.0,0.70213,56.0,0,0
40,80.0,90.0,1.61213,129.0,0,0
40,90.0,100.0,0.442,139.0001,0,0
40,100.0,110.0,0.442,139.0001,0,0
40,110.0,120.0,0.16913,80.0001,0,0
40,120.0,130.0,0.377,111.0,0,1
40,130.0,140.0,0.286,75.0,0,0
40,140.0,150.0,0.28613,119.0001,0,0
41,0.0,10.0,1.131,107.0,1,0
41,10.0,20.0,0.36413,54.0,0,0
41,20.0,30.0,0.28613,33.0,0,0
41,30.0,40.0,0.32513,47.0,0,0
41,40.0,50.0,0.48113,51.0,0,0
41,50.0,60.0,1.105,41.0001,0,0
41,60.0,70.0,1.508,113.0001,1,0
42,0.0,10.0,1.131,107.0,1,0
42,10.0,20.0,1.066,89.0001,1,0
42,20.0,30.0,0.481,54.0,1,0
42,30.0,40.0,1.30013,72.0001,1,0
42,40.0,50.0,0.5720000000000001,94.0,1,1
42,50.0,60.0,1.70313,194.0,1,1
42,60.0,70.0,1.24813,230.0001,1,1
43,0.0,10.0,0.052,65.0001,0,0
43,10.0,20.0,0.16913,55.0001,0,0
43,20.0,30.0,0.28613,95.0,0,0
43,30.0,40.0,0.533,75.0001,0,0
43,40.0,50.0,0.26,42.0,0,0
43,50.0,60.0,0.81913,97.0001,0,0
43,60.0,70.0,0.8841300000000001,125.0001,0,0
43,70.0,80.0,0.71513,93.0,1,1
43,80.0,90.0,0.46813,168.0,1,1
44,0.0,10.0,0.03913,34.0,0,0
44,10.0,20.0,0.02613,30.0001,0,0
44,20.0,30.0,0.20813,23.0001,0,0
44,30.0,40.0,0.20813,23.0001,0,0
44,40.0,50.0,0.078,34.0001,0,0
44,50.0,60.0,0.07813,27.0,0,0
44,60.0,70.0,0.5850000000000001,35.0,0,0
44,70.0,80.0,0.41613,51.0001,0,0
44,80.0,90.0,1.96313,164.9093,1,0
44,90.0,100.0,2.8471300000000004,151.0001,1,0
44,100.0,110.0,1.677,65.0001,1,0
44,110.0,120.0,0.6890000000000001,46.0,1,0
44,120.0,130.0,0.36413,33.0001,0,0
44,130.0,140.0,1.846,66.0,0,0
44,140.0,150.0,0.19513,42.0001,0,0
44,150.0,160.0,0.0521299999999999,22.0001,0,0
45,0.0,10.0,0.02613,94.0,0,0
45,10.0,20.0,0.01313,68.0001,0,0
45,20.0,30.0,0.052,44.0001,0,0
45,30.0,40.0,0.039,105.0,0,0
45,40.0,50.0,0.026,85.0,0,0
45,50.0,60.0,0.052,101.0001,0,0
45,60.0,70.0,0.039,63.0001,0,0
45,70.0,80.0,0.0521299999999999,98.0001,0,0
45,80.0,90.0,0.078,63.0001,0,0
46,0.0,10.0,0.26,67.0001,0,0
46,10.0,20.0,0.377,66.0001,0,0
46,20.0,30.0,0.8710000000000001,87.0001,0,0
46,30.0,40.0,0.35113,49.0,0,0
46,40.0,50.0,0.35113,49.0,0,0
46,50.0,60.0,0.1169999999999999,108.0001,0,0
46,60.0,70.0,0.94913,107.0,0,0
46,70.0,80.0,0.247,107.0,0,0
46,80.0,90.0,0.442,83.0,0,0
46,90.0,100.0,1.00113,218.0001,0,0
47,0.0,10.0,0.26,67.0001,0,0
47,10.0,20.0,0.429,42.0,0,0
47,20.0,30.0,0.7411300000000001,43.0001,0,0
47,30.0,40.0,0.416,43.0001,0,0
47,40.0,50.0,0.442,75.0001,0,0
47,50.0,60.0,0.26,61.0,0,0
47,60.0,70.0,0.481,111.0001,0,0
47,70.0,80.0,0.41613,140.0,0,1
47,80.0,90.0,0.182,63.0001,0,1
47,90.0,100.0,0.364,111.0,0,0
47,100.0,110.0,0.13013,87.0001,0,0
47,110.0,120.0,0.8190000000000001,169.0001,0,0
48,0.0,10.0,0.039,32.0,0,0
48,10.0,20.0,0.039,32.0,0,0
48,20.0,30.0,0.07813,39.0001,0,0
48,30.0,40.0,0.364,49.0,0,0
48,40.0,50.0,0.31213,40.0,0,0
48,50.0,60.0,0.104,34.0,0,0
48,60.0,70.0,0.481,143.0001,0,0
48,70.0,80.0,0.065,43.0,0,0
48,80.0,90.0,0.94913,49.0001,0,0
48,90.0,100.0,0.52,36.0001,0,0
49,0.0,10.0,2.535,466.0001,0,1
49,10.0,20.0,0.8190000000000001,125.0,0,1
49,20.0,30.0,0.28613,63.0,0,0
49,30.0,40.0,1.1960000000000002,66.0001,0,0
49,40.0,50.0,0.091,39.0001,0,0
49,50.0,60.0,0.36413,45.0,0,0
50,0.0,10.0,0.58513,144.0,0,1
50,10.0,20.0,0.663,145.0,0,1
50,20.0,30.0,0.33813,92.0001,0,1
50,30.0,40.0,0.14313,90.0,0,1
50,40.0,50.0,0.14313,90.0,0,1
50,50.0,60.0,0.208,33.0001,0,0
50,60.0,70.0,0.273,67.0,0,0
50,70.0,80.0,0.15613,31.0,0,0
50,80.0,90.0,0.33813,49.0001,0,0
50,90.0,100.0,0.15613,29.0001,0,0
50,100.0,110.0,0.052,35.0,0,0
51,0.0,10.0,0.351,62.0,1,0
51,10.0,20.0,0.507,93.0001,1,0
51,20.0,30.0,0.41613,50.0001,1,0
51,30.0,40.0,4.745,220.5889,1,0
51,40.0,50.0,0.80613,81.0,1,0
51,50.0,60.0,0.80613,81.0,1,0
51,60.0,70.0,0.32929,11.0001,1,0
51,70.0,80.0,0.6241300000000001,21.0001,1,1
51,80.0,90.0,0.54613,25.0001,0,1
51,90.0,100.0,0.14313,32.0001,0,1
51,100.0,110.0,0.533,64.0001,0,1
51,110.0,120.0,0.481,96.0,0,1
52,0.0,10.0,3.08282,133.0001,1,1
52,10.0,20.0,3.08282,133.0001,1,1
52,20.0,30.0,1.57313,132.0001,1,1
52,30.0,40.0,0.312,36.0,1,1
52,40.0,50.0,0.28613,28.0001,1,1
52,50.0,60.0,0.0521299999999999,53.0,0,0
52,60.0,70.0,0.14313,41.0,0,0
52,70.0,80.0,0.156,34.0,0,0
52,80.0,90.0,0.14313,45.0001,0,0
52,90.0,100.0,0.143,90.0,0,0
52,100.0,110.0,0.143,61.0,0,0
52,110.0,120.0,0.1169999999999999,79.0001,0,0
52,120.0,130.0,0.182,65.0001,0,0
52,130.0,140.0,0.11713,77.0,0,0
